graph wizard parameter,value,visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,X 0,X Err. 0,X Lower 0,X Upper 0,Y 0,Y Err. 0,Y Lower 0,Y Upper 0,BGRA 0,X 1,X Err. 1,X Lower 1,X Upper 1,Y 1,Y Err. 1,Y Lower 1,Y Upper 1,BGRA 1,X 2,X Err. 2,X Lower 2,X Upper 2,Y 2,Y Err. 2,Y Lower 2,Y Upper 2,BGRA 2,X 3,X Err. 3,X Lower 3,X Upper 3,Y 3,Y Err. 3,Y Lower 3,Y Upper 3,BGRA 3,X 4,X Err. 4,X Lower 4,X Upper 4,Y 4,Y Err. 4,Y Lower 4,Y Upper 4,BGRA 4,X 5,X Err. 5,X Lower 5,X Upper 5,Y 5,Y Err. 5,Y Lower 5,Y Upper 5,BGRA 5,X 6,X Err. 6,X Lower 6,X Upper 6,Y 6,Y Err. 6,Y Lower 6,Y Upper 6,BGRA 6,X 7,X Err. 7,X Lower 7,X Upper 7,Y 7,Y Err. 7,Y Lower 7,Y Upper 7,BGRA 7,X 8,X Err. 8,X Lower 8,X Upper 8,Y 8,Y Err. 8,Y Lower 8,Y Upper 8,BGRA 8,X 9,X Err. 9,X Lower 9,X Upper 9,Y 9,Y Err. 9,Y Lower 9,Y Upper 9,BGRA 9,X 10,X Err. 10,X Lower 10,X Upper 10,Y 10,Y Err. 10,Y Lower 10,Y Upper 10,BGRA 10,X 11,X Err. 11,X Lower 11,X Upper 11,Y 11,Y Err. 11,Y Lower 11,Y Upper 11,BGRA 11,X 12,X Err. 12,X Lower 12,X Upper 12,Y 12,Y Err. 12,Y Lower 12,Y Upper 12,BGRA 12
plot_type,Vertical Bar Chart,xlabel,XLABEL HERE,NONE_STR,0.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,X 0,,,,1.5292157037902991,0.1,,,0.0,X 1,,,,3.030310575487534,0.2,,,255.0,X 2,,,,3.741769274985777,0.30000000000000004,,,128.0,X 3,,,,4.15258941278765,0.4,,,192.0,X 4,,,,7.3521802810721155,0.5,,,20.0,X 5,,,,7.015773657870038,0.6000000000000001,,,50.0,X 6,,,,10.232622569972516,0.7000000000000001,,,20.0,X 7,,,,9.168901954119269,0.8,,,255.0,X 8,,,,8.90793726739836,0.9,,,200.0,X 9,,,,4.661805952521309,1.0,,,200.0,X 10,,,,13.366458738873455,1.1,,,100.0,X 11,,,,7.475504973580709,1.2000000000000002,,,50.0,X 12,,,,11.60773524161196,1.3,,,0.0
plot_style_type,Simple Error Bars,xmm,40,,5.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,0.0,,,,,,,,,255.0,,,,,,,,,128.0,,,,,,,,,128.0,,,,,,,,,180.0,,,,,,,,,70.0,,,,,,,,,160.0,,,,,,,,,50.0,,,,,,,,,150.0,,,,,,,,,200.0,,,,,,,,,0.0,,,,,,,,,94.0,,,,,,,,,0.0
plot_data_type,XY Pair,xscale,category,,10.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,0.0,,,,,,,,,255.0,,,,,,,,,128.0,,,,,,,,,0.0,,,,,,,,,20.0,,,,,,,,,255.0,,,,,,,,,230.0,,,,,,,,,200.0,,,,,,,,,255.0,,,,,,,,,20.0,,,,,,,,,0.0,,,,,,,,,228.0,,,,,,,,,128.0
plot_columns_per_plot,ColumnsPerPlot,xmin,0,,15.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0
plot_plot_columns_count_array,PlotColumnCountArray,xmax,NONE_STR,,20.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_data_source,Worksheet Columns,ylabel,YLABEL HERE,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_polarunits,NONE_STR,ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_anguleunits,Degrees,yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_min_angle_row,0,ymin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_max_angle_row,360,ymax,21,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_unknown1,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_group_style,NONE_STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_use_automatic_legends,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
