graph wizard parameter,value,visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,X 0,X Err. 0,X Lower 0,X Upper 0,Y 0,Y Err. 0,Y Lower 0,Y Upper 0,BGRA 0,X 1,X Err. 1,X Lower 1,X Upper 1,Y 1,Y Err. 1,Y Lower 1,Y Upper 1,BGRA 1,X 2,X Err. 2,X Lower 2,X Upper 2,Y 2,Y Err. 2,Y Lower 2,Y Upper 2,BGRA 2,X 3,X Err. 3,X Lower 3,X Upper 3,Y 3,Y Err. 3,Y Lower 3,Y Upper 3,BGRA 3,X 4,X Err. 4,X Lower 4,X Upper 4,Y 4,Y Err. 4,Y Lower 4,Y Upper 4,BGRA 4,X 5,X Err. 5,X Lower 5,X Upper 5,Y 5,Y Err. 5,Y Lower 5,Y Upper 5,BGRA 5,X 6,X Err. 6,X Lower 6,X Upper 6,Y 6,Y Err. 6,Y Lower 6,Y Upper 6,BGRA 6,X 7,X Err. 7,X Lower 7,X Upper 7,Y 7,Y Err. 7,Y Lower 7,Y Upper 7,BGRA 7,X 8,X Err. 8,X Lower 8,X Upper 8,Y 8,Y Err. 8,Y Lower 8,Y Upper 8,BGRA 8,X 9,X Err. 9,X Lower 9,X Upper 9,Y 9,Y Err. 9,Y Lower 9,Y Upper 9,BGRA 9,X 10,X Err. 10,X Lower 10,X Upper 10,Y 10,Y Err. 10,Y Lower 10,Y Upper 10,BGRA 10,X 11,X Err. 11,X Lower 11,X Upper 11,Y 11,Y Err. 11,Y Lower 11,Y Upper 11,BGRA 11,X 12,X Err. 12,X Lower 12,X Upper 12,Y 12,Y Err. 12,Y Lower 12,Y Upper 12,BGRA 12
plot_type,Box Plot,xlabel,XLABEL HERE,,0.0,,,,,Category 0,,,,6.764052345967664,,,,0.0,Category 1,,,,10.989025699981037,,,,255.0,Category 2,,,,17.195368262333975,,,,128.0,Category 3,,,,22.46295052950287,,,,192.0,Category 4,,,,24.93862484493224,,,,20.0,Category 5,,,,31.434217417499063,,,,50.0,Category 6,,,,34.21461987988367,,,,20.0,Category 7,,,,37.8813565735325,,,,255.0,Category 8,,,,45.078682716457855,,,,200.0,Category 9,,,,51.84663869159358,,,,200.0,Category 10,,,,57.10219016412888,,,,100.0,Category 11,,,,62.57355405595204,,,,50.0,Category 12,,,,63.68023478814563,,,,0.0
plot_style_type,Vertical Box Plot,xmm,40,,5.0,,,,,,,,,5.400157208367223,,,,0.0,,,,,10.575959203721258,,,,255.0,,,,,16.070717278709914,,,,128.0,,,,,20.559908218172243,,,,128.0,,,,,26.79395912660918,,,,180.0,,,,,27.991078114719976,,,,70.0,,,,,32.20077819638409,,,,160.0,,,,,36.93382246895027,,,,50.0,,,,,47.518959330976095,,,,150.0,,,,,51.047701666734625,,,,200.0,,,,,59.73646487129677,,,,0.0,,,,,55.61924486315819,,,,94.0,,,,,63.06967352675796,,,,0.0
plot_data_type,X Many Y,xscale,category,,10.0,,,,,,,,,5.978737984105739,,,,0.0,,,,,11.40816161451043,,,,255.0,,,,,12.455796520605816,,,,128.0,,,,,21.26234976918125,,,,0.0,,,,,21.79439685892833,,,,20.0,,,,,30.652754237790102,,,,255.0,,,,,32.57045959230445,,,,230.0,,,,,41.26998694683914,,,,200.0,,,,,48.73994030699577,,,,255.0,,,,,49.439839822273186,,,,20.0,,,,,56.44694849248419,,,,0.0,,,,,57.549934986112106,,,,228.0,,,,,66.98493360928485,,,,128.0
plot_columns_per_plot,ColumnsPerPlot,xmin,0,,15.0,,,,,,,,,7.240893199201458,,,,1.0,,,,,11.090857682542024,,,,1.0,,,,,18.272867775384924,,,,1.0,,,,,18.81301791363835,,,,1.0,,,,,25.543429226743008,,,,1.0,,,,,26.142546066799316,,,,1.0,,,,,37.3297603994517,,,,1.0,,,,,38.41207590569244,,,,1.0,,,,,47.82426239276418,,,,1.0,,,,,53.535548494284406,,,,1.0,,,,,55.816933796251504,,,,1.0,,,,,66.51975522034277,,,,1.0,,,,,65.58803333940364,,,,1.0
plot_plot_columns_count_array,PlotColumnCountArray,xmax,,,20.0,,,,,,,,,6.867557990149967,,,,,,,,,9.31393425772065,,,,,,,,,12.40460640986629,,,,,,,,,21.848809043004113,,,,,,,,,28.647539831966586,,,,,,,,,29.206824972694783,,,,,,,,,34.474849606460936,,,,,,,,,44.80808756391266,,,,,,,,,45.928219740205805,,,,,,,,,52.60586674513029,,,,,,,,,56.03361408350599,,,,,,,,,59.43231469499452,,,,,,,,,71.90356575028294,,,,
plot_data_source,Worksheet Columns,ylabel,YLABEL HERE,,,,,,,,,,,4.022722120123589,,,,,,,,,9.868603278729026,,,,,,,,,18.121147213771682,,,,,,,,,19.093172599626072,,,,,,,,,23.96899718672707,,,,,,,,,29.350349615570597,,,,,,,,,32.87851674809514,,,,,,,,,36.95310936736034,,,,,,,,,45.37684721159932,,,,,,,,,47.9074331012755,,,,,,,,,49.65595174439916,,,,,,,,,60.07249287175241,,,,,,,,,68.1544520695474,,,,
plot_polarunits,Standard Deviation,ymm,28.0,,,,,,,,,,,5.950088417525589,,,,,,,,,10.022833917890155,,,,,,,,,14.781275307240294,,,,,,,,,18.84281141352229,,,,,,,,,23.308073384496975,,,,,,,,,28.97423224185014,,,,,,,,,37.958725336207266,,,,,,,,,38.6128900722205,,,,,,,,,44.7977920109783,,,,,,,,,48.13633136892388,,,,,,,,,55.45442115966024,,,,,,,,,56.585648970289384,,,,,,,,,73.44615354999027,,,,
plot_anguleunits,Degrees,yscale,linear,,,,,,,,,,,4.848642791702302,,,,,,,,,8.867486722564726,,,,,,,,,16.96057603898158,,,,,,,,,16.82485124423887,,,,,,,,,22.86264156683134,,,,,,,,,31.15080557980619,,,,,,,,,35.057348956600265,,,,,,,,,37.438404841905495,,,,,,,,,45.59167651816901,,,,,,,,,52.66787528611755,,,,,,,,,52.556705597794384,,,,,,,,,61.35398231089358,,,,,,,,,68.46798376558861,,,,
plot_min_angle_row,0,ymin,0,,,,,,,,,,,4.8967811482064425,,,,,,,,,10.7686877837655,,,,,,,,,13.290598742344985,,,,,,,,,19.14703413670559,,,,,,,,,25.817886366277115,,,,,,,,,30.517875344474895,,,,,,,,,34.496647772706694,,,,,,,,,42.430771886001075,,,,,,,,,44.83448616427439,,,,,,,,,46.95423952674694,,,,,,,,,55.34223678093459,,,,,,,,,59.25237332452296,,,,,,,,,57.82575365397257,,,,
plot_max_angle_row,360,ymax,21,,,,,,,,,,,5.410598501938372,,,,,,,,,9.056268194041452,,,,,,,,,14.797388673058357,,,,,,,,,17.101629218804675,,,,,,,,,23.7821584720532,,,,,,,,,31.0500466845916,,,,,,,,,32.081376786978325,,,,,,,,,39.17995778260046,,,,,,,,,44.544341311215916,,,,,,,,,55.363660721804415,,,,,,,,,54.20823649482328,,,,,,,,,50.13484768638769,,,,,,,,,68.67091193325544,,,,
plot_unknown1,,,,,,,,,,,,,,5.144043571160878,,,,,,,,,10.730643991930002,,,,,,,,,14.305026183386952,,,,,,,,,18.876440168704995,,,,,,,,,22.255796887434602,,,,,,,,,27.71475374888953,,,,,,,,,33.677516295329816,,,,,,,,,38.972707651530506,,,,,,,,,43.11489440260438,,,,,,,,,52.04318492496342,,,,,,,,,55.35504375083348,,,,,,,,,60.867232501670024,,,,,,,,,64.19913916359903,,,,
plot_group_style,None,,,,,,,,,,,,,6.454273506962975,,,,,,,,,8.882785781394887,,,,,,,,,15.48598354016541,,,,,,,,,20.189381265468324,,,,,,,,,25.259597738205187,,,,,,,,,26.197491431290356,,,,,,,,,29.69203298333095,,,,,,,,,37.93735006467614,,,,,,,,,43.21356275498615,,,,,,,,,52.009026879157226,,,,,,,,,56.5223240418849,,,,,,,,,58.89623342464547,,,,,,,,,62.83717227387469,,,,
plot_use_automatic_legends,True,,,,,,,,,,,,,5.761037725146993,,,,,,,,,11.173866697755315,,,,,,,,,15.45519530414253,,,,,,,,,22.212930942149836,,,,,,,,,22.988567437491113,,,,,,,,,32.312891400032484,,,,,,,,,36.7162846957082,,,,,,,,,36.65676501995524,,,,,,,,,45.92433173187903,,,,,,,,,49.779574071580534,,,,,,,,,52.9937774727696,,,,,,,,,63.62179608486222,,,,,,,,,72.83891019276761,,,,
,,,,,,,,,,,,,,5.121675016492828,,,,,,,,,9.115698327225687,,,,,,,,,14.549237945304649,,,,,,,,,18.65623995823528,,,,,,,,,25.77404432075351,,,,,,,,,28.202585638389415,,,,,,,,,36.33755884796812,,,,,,,,,38.99975520853506,,,,,,,,,41.493334005097125,,,,,,,,,51.25950771842135,,,,,,,,,58.19038898025986,,,,,,,,,60.11033742044332,,,,,,,,,71.27967465532886,,,,
,,,,,,,,,,,,,,5.443863232745426,,,,,,,,,9.641520858191774,,,,,,,,,13.024354551583864,,,,,,,,,21.896053494909737,,,,,,,,,26.325070240431426,,,,,,,,,28.701380030662563,,,,,,,,,34.197141629003994,,,,,,,,,39.89835977164179,,,,,,,,,46.44435891620572,,,,,,,,,54.90978742601283,,,,,,,,,58.6183258454024,,,,,,,,,66.15106928737279,,,,,,,,,58.48024318650425,,,,
,,,,,,,,,,,,,,5.333674327374267,,,,,,,,,9.447295150078332,,,,,,,,,14.490435752073239,,,,,,,,,16.591719757336854,,,,,,,,,25.712290733863888,,,,,,,,,29.6912686611604,,,,,,,,,35.66913906833678,,,,,,,,,40.12161610458731,,,,,,,,,43.23061232838273,,,,,,,,,48.297662653817085,,,,,,,,,57.90089556980164,,,,,,,,,60.5079270157198,,,,,,,,,67.24269343844685,,,,
,,,,,,,,,,,,,,6.494079073157606,,,,,,,,,8.693448416788975,,,,,,,,,13.490434144673747,,,,,,,,,21.013422159450272,,,,,,,,,26.956731108646128,,,,,,,,,29.35217462369717,,,,,,,,,34.117793904525065,,,,,,,,,38.626521565056386,,,,,,,,,48.816315857110446,,,,,,,,,49.776044687509604,,,,,,,,,54.92425745302777,,,,,,,,,57.86841453938457,,,,,,,,,65.46304577103406,,,,
,,,,,,,,,,,,,,4.794841736234199,,,,,,,,,9.309075105196277,,,,,,,,,16.43725600910119,,,,,,,,,19.10893430838403,,,,,,,,,26.760678865835782,,,,,,,,,24.83819973896278,,,,,,,,,33.53246499328841,,,,,,,,,36.00743378278936,,,,,,,,,47.741802247899564,,,,,,,,,51.77125172616862,,,,,,,,,53.32500244371095,,,,,,,,,60.84262620332802,,,,,,,,,66.1774482297364,,,,
,,,,,,,,,,,,,,5.313067701650901,,,,,,,,,7.980519074818734,,,,,,,,,16.269711836480585,,,,,,,,,21.187332369099433,,,,,,,,,29.601886935800692,,,,,,,,,30.597373381608143,,,,,,,,,38.297513486271896,,,,,,,,,36.19631860888495,,,,,,,,,43.541092438721854,,,,,,,,,52.74159093389479,,,,,,,,,49.787268725180404,,,,,,,,,55.870778862577275,,,,,,,,,64.37320408543056,,,,
,,,,,,,,,,,,,,4.145904260698275,,,,,,,,,10.275022297244826,,,,,,,,,13.35033927453175,,,,,,,,,21.05138705692325,,,,,,,,,26.797028416879684,,,,,,,,,27.203339216381526,,,,,,,,,35.25400382345882,,,,,,,,,42.6752332465796,,,,,,,,,42.07178825380995,,,,,,,,,48.9157787939449,,,,,,,,,51.47527644842529,,,,,,,,,58.435844119220164,,,,,,,,,63.24075571770953,,,,
,,,,,,,,,,,,,,2.4470101841659213,,,,,,,,,7.89204973188102,,,,,,,,,16.569505713665187,,,,,,,,,20.889022989942,,,,,,,,,25.846982467325017,,,,,,,,,29.431631840293317,,,,,,,,,31.6743687251605,,,,,,,,,40.27185887058261,,,,,,,,,47.03214271876317,,,,,,,,,50.8331985438541,,,,,,,,,51.65591190700921,,,,,,,,,59.67739502719159,,,,,,,,,65.63317481627948,,,,
,,,,,,,,,,,,,,5.653618595440361,,,,,,,,,11.013559142397938,,,,,,,,,16.12129973762315,,,,,,,,,23.028893910132638,,,,,,,,,24.330594151027157,,,,,,,,,30.116389086313095,,,,,,,,,36.919885970654796,,,,,,,,,38.178306194932965,,,,,,,,,43.25860447627973,,,,,,,,,44.80555663640827,,,,,,,,,54.13785969906809,,,,,,,,,55.07538630069823,,,,,,,,,62.02225046376158,,,,
,,,,,,,,,,,,,,5.864436198859506,,,,,,,,,10.332663836092145,,,,,,,,,13.40534657591376,,,,,,,,,20.102283827115414,,,,,,,,,23.833207328719364,,,,,,,,,30.757065986818194,,,,,,,,,34.540808673810886,,,,,,,,,40.06681824620173,,,,,,,,,49.547505860022234,,,,,,,,,49.911489145802385,,,,,,,,,57.88321355253153,,,,,,,,,58.94388066413527,,,,,,,,,67.56325865705325,,,,
,,,,,,,,,,,,,,4.257834979593558,,,,,,,,,11.02348183956833,,,,,,,,,15.772508886777572,,,,,,,,,20.958373146737664,,,,,,,,,22.680883718485635,,,,,,,,,30.576134372868445,,,,,,,,,37.50680458034714,,,,,,,,,41.59767006140056,,,,,,,,,42.18762570065436,,,,,,,,,49.9509090688602,,,,,,,,,57.43221735786672,,,,,,,,,63.802752340736795,,,,,,,,,63.69192161800905,,,,
,,,,,,,,,,,,,,7.269754623987607,,,,,,,,,10.233519523652943,,,,,,,,,15.020653011386521,,,,,,,,,18.695458158578358,,,,,,,,,27.12425281579078,,,,,,,,,30.058022972012637,,,,,,,,,35.19955653806959,,,,,,,,,41.795685372006574,,,,,,,,,44.999840206857385,,,,,,,,,50.631656072552374,,,,,,,,,53.62082940926606,,,,,,,,,60.048707818069424,,,,,,,,,58.602637681913016,,,,
,,,,,,,,,,,,,,3.5456343254012355,,,,,,,,,11.57276525886995,,,,,,,,,16.452421714565887,,,,,,,,,18.84266003922647,,,,,,,,,26.55138426568382,,,,,,,,,29.769010227520095,,,,,,,,,33.56258734735316,,,,,,,,,39.365246630435934,,,,,,,,,44.24690592942095,,,,,,,,,50.51854115098406,,,,,,,,,54.410335941715005,,,,,,,,,60.96012314633144,,,,,,,,,60.752294296455624,,,,
,,,,,,,,,,,,,,5.045758517301446,,,,,,,,,11.852612320078956,,,,,,,,,12.287240437072462,,,,,,,,,21.804290080066707,,,,,,,,,23.94957199295636,,,,,,,,,27.402423322238455,,,,,,,,,37.423918834636574,,,,,,,,,37.66704140380926,,,,,,,,,43.842020391682105,,,,,,,,,51.114286072299066,,,,,,,,,59.79847637705997,,,,,,,,,59.65410452410042,,,,,,,,,66.32359427685577,,,,
,,,,,,,,,,,,,,4.812816149974166,,,,,,,,,9.365142370855029,,,,,,,,,14.485903761067824,,,,,,,,,21.760750262789998,,,,,,,,,22.096072566657902,,,,,,,,,30.080731991113318,,,,,,,,,38.077131541217874,,,,,,,,,40.03767419496168,,,,,,,,,45.26223506335088,,,,,,,,,53.06402984030518,,,,,,,,,59.02468170903571,,,,,,,,,58.550435465109935,,,,,,,,,67.93511653645906,,,,
,,,,,,,,,,,,,,6.532779214358458,,,,,,,,,9.212233243190163,,,,,,,,,15.019866629541086,,,,,,,,,20.37784169235142,,,,,,,,,25.887944281034873,,,,,,,,,29.706002448123176,,,,,,,,,36.95081655338445,,,,,,,,,40.77192995889915,,,,,,,,,41.80835478130345,,,,,,,,,45.87490903091907,,,,,,,,,58.980931746318426,,,,,,,,,54.486521948151754,,,,,,,,,63.00474639989406,,,,
,,,,,,,,,,,,,,6.4693587699002855,,,,,,,,,9.758193158676747,,,,,,,,,14.821870043451764,,,,,,,,,19.387756833739537,,,,,,,,,20.977049057645452,,,,,,,,,31.326972950979613,,,,,,,,,34.36351339874393,,,,,,,,,36.151427950073916,,,,,,,,,46.31816304913725,,,,,,,,,49.78269628440433,,,,,,,,,60.39774369738512,,,,,,,,,54.95330799396032,,,,,,,,,64.5691911557432,,,,
,,,,,,,,,,,,,,8.077473712848459,,,,,,,,,6.649692083585538,,,,,,,,,17.6063947265827,,,,,,,,,17.454643336670973,,,,,,,,,27.998659301289873,,,,,,,,,27.423105251413798,,,,,,,,,37.58118637139226,,,,,,,,,37.42887492893854,,,,,,,,,48.63560183142935,,,,,,,,,46.751169886994475,,,,,,,,,57.778040406503685,,,,,,,,,56.78677635872049,,,,,,,,,68.32901826202632,,,,
,,,,,,,,,,,,,,8.189081259801087,,,,,,,,,7.343568977181775,,,,,,,,,17.43805285749484,,,,,,,,,16.691364647419366,,,,,,,,,27.89649959550144,,,,,,,,,27.125347399449282,,,,,,,,,38.45116528642133,,,,,,,,,36.75901408165179,,,,,,,,,46.94737526294805,,,,,,,,,46.78415030020793,,,,,,,,,58.64669876815517,,,,,,,,,57.607638392499354,,,,,,,,,68.32424270227249,,,,
