graph wizard parameter,value,visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,X 0,X Err. 0,X Lower 0,X Upper 0,Y 0,Y Err. 0,Y Lower 0,Y Upper 0,BGRA 0,X 1,X Err. 1,X Lower 1,X Upper 1,Y 1,Y Err. 1,Y Lower 1,Y Upper 1,BGRA 1,X 2,X Err. 2,X Lower 2,X Upper 2,Y 2,Y Err. 2,Y Lower 2,Y Upper 2,BGRA 2,X 3,X Err. 3,X Lower 3,X Upper 3,Y 3,Y Err. 3,Y Lower 3,Y Upper 3,BGRA 3,X 4,X Err. 4,X Lower 4,X Upper 4,Y 4,Y Err. 4,Y Lower 4,Y Upper 4,BGRA 4,X 5,X Err. 5,X Lower 5,X Upper 5,Y 5,Y Err. 5,Y Lower 5,Y Upper 5,BGRA 5,X 6,X Err. 6,X Lower 6,X Upper 6,Y 6,Y Err. 6,Y Lower 6,Y Upper 6,BGRA 6,X 7,X Err. 7,X Lower 7,X Upper 7,Y 7,Y Err. 7,Y Lower 7,Y Upper 7,BGRA 7,X 8,X Err. 8,X Lower 8,X Upper 8,Y 8,Y Err. 8,Y Lower 8,Y Upper 8,BGRA 8,X 9,X Err. 9,X Lower 9,X Upper 9,Y 9,Y Err. 9,Y Lower 9,Y Upper 9,BGRA 9,X 10,X Err. 10,X Lower 10,X Upper 10,Y 10,Y Err. 10,Y Lower 10,Y Upper 10,BGRA 10,X 11,X Err. 11,X Lower 11,X Upper 11,Y 11,Y Err. 11,Y Lower 11,Y Upper 11,BGRA 11,X 12,X Err. 12,X Lower 12,X Upper 12,Y 12,Y Err. 12,Y Lower 12,Y Upper 12,BGRA 12
plot_type,Box Plot,xlabel,XLABEL HERE,0.0,,,,,,6.764052345967664,,,,Category 0,,,,0.0,9.438149447297736,,,,Category 1,,,,255.0,15.358459193196852,,,,Category 2,,,,128.0,20.779267969412846,,,,Category 3,,,,192.0,24.24452325155777,,,,Category 4,,,,20.0,31.66061107860054,,,,Category 5,,,,50.0,33.05791019240479,,,,Category 6,,,,20.0,41.74482207620913,,,,Category 7,,,,255.0,46.644774751124245,,,,Category 8,,,,200.0,54.09202581202624,,,,Category 9,,,,200.0,61.71449510731829,,,,Category 10,,,,100.0,58.310257470473644,,,,Category 11,,,,50.0,66.74935328303636,,,,Category 12,,,,0.0
plot_style_type,Horizontal Box Plot,xmm,40,5.0,,,,,,5.400157208367223,,,,,,,,0.0,9.012610175172355,,,,,,,,255.0,17.033655510314027,,,,,,,,128.0,21.288136990621492,,,,,,,,128.0,27.385061164084053,,,,,,,,180.0,35.35689846147069,,,,,,,,70.0,32.189337263204415,,,,,,,,160.0,42.08247146386656,,,,,,,,50.0,46.2641226284844,,,,,,,,150.0,53.66649817416686,,,,,,,,200.0,58.86207778392402,,,,,,,,0.0,64.98251348198075,,,,,,,,94.0,63.24366141500876,,,,,,,,0.0
plot_data_type,Y Many X,xscale,linear,10.0,,,,,,5.978737984105739,,,,,,,,0.0,9.921543877413077,,,,,,,,255.0,12.945559278553628,,,,,,,,128.0,18.11758092672644,,,,,,,,0.0,24.42621263739834,,,,,,,,20.0,34.57338066727424,,,,,,,,255.0,36.16415470126921,,,,,,,,230.0,38.939403739836145,,,,,,,,200.0,42.73700402732097,,,,,,,,255.0,48.211254250907345,,,,,,,,20.0,56.80970331447284,,,,,,,,0.0,61.454282922498656,,,,,,,,228.0,66.9081234474738,,,,,,,,128.0
plot_columns_per_plot,ColumnsPerPlot,xmin,0,15.0,,,,,,7.240893199201458,,,,,,,,1.0,9.14396569096263,,,,,,,,1.0,16.679494780993426,,,,,,,,1.0,18.300998089898265,,,,,,,,1.0,26.06755280101041,,,,,,,,1.0,30.5972798714683,,,,,,,,1.0,33.5444029135514,,,,,,,,1.0,39.358125010941734,,,,,,,,1.0,39.997482337568705,,,,,,,,1.0,49.13791530285575,,,,,,,,1.0,54.052775180889896,,,,,,,,1.0,64.04315932101517,,,,,,,,1.0,66.2734472041983,,,,,,,,1.0
plot_plot_columns_count_array,PlotColumnCountArray,xmax,21,20.0,,,,,,6.867557990149967,,,,,,,,,11.0876210647938,,,,,,,,,12.905350467301883,,,,,,,,,21.387341762981357,,,,,,,,,22.20282496651338,,,,,,,,,28.915855946561155,,,,,,,,,39.407413600253264,,,,,,,,,35.72314000708598,,,,,,,,,40.17581693519372,,,,,,,,,54.47075874653256,,,,,,,,,55.94698000055703,,,,,,,,,61.626168979109295,,,,,,,,,62.72378060659225,,,,,,,,
plot_data_source,Worksheet Columns,ylabel,YLABEL HERE,,,,,,,4.022722120123589,,,,,,,,,10.919484077115007,,,,,,,,,14.343864081425863,,,,,,,,,18.546813582765974,,,,,,,,,23.84941356759656,,,,,,,,,27.588862829039854,,,,,,,,,32.207016920080314,,,,,,,,,39.92589733983866,,,,,,,,,46.84858996077803,,,,,,,,,47.36278843831297,,,,,,,,,56.71013999957593,,,,,,,,,59.752946651462175,,,,,,,,,61.498029829679375,,,,,,,,
plot_polarunits,Standard Deviation,ymm,28.0,,,,,,,5.950088417525589,,,,,,,,,10.991264885785114,,,,,,,,,15.59595106191334,,,,,,,,,19.37640907157467,,,,,,,,,26.87140803795225,,,,,,,,,29.66816395707761,,,,,,,,,33.728482566202125,,,,,,,,,40.916396963229076,,,,,,,,,44.62527377599193,,,,,,,,,46.77351642103386,,,,,,,,,49.97706708276713,,,,,,,,,57.39977228417123,,,,,,,,,67.51032782592394,,,,,,,,
plot_anguleunits,Degrees,yscale,category,,,,,,,4.848642791702302,,,,,,,,,8.41158065742305,,,,,,,,,15.928845211916675,,,,,,,,,20.01771232796917,,,,,,,,,27.285960461584583,,,,,,,,,32.7253650295487,,,,,,,,,32.65187110508003,,,,,,,,,44.323382623389044,,,,,,,,,45.29888483841325,,,,,,,,,49.8088237793072,,,,,,,,,49.86444545580985,,,,,,,,,56.08647274934959,,,,,,,,,65.77307058888249,,,,,,,,
plot_min_angle_row,0,ymin,0,,,,,,,4.8967811482064425,,,,,,,,,7.897066571246233,,,,,,,,,16.282170099685494,,,,,,,,,16.517089714797876,,,,,,,,,26.166833991019974,,,,,,,,,31.627285407073934,,,,,,,,,37.22820756216765,,,,,,,,,42.57796802480904,,,,,,,,,45.77036227164081,,,,,,,,,55.54480042340508,,,,,,,,,58.268557759224564,,,,,,,,,61.23604274057286,,,,,,,,,69.2893976119434,,,,,,,,
plot_max_angle_row,360,ymax,,,,,,,,5.410598501938372,,,,,,,,,11.202938882079218,,,,,,,,,16.17028471280925,,,,,,,,,19.537561246691496,,,,,,,,,22.334408095070145,,,,,,,,,28.79890797430849,,,,,,,,,34.248294634050424,,,,,,,,,39.59918183692577,,,,,,,,,49.100449548282455,,,,,,,,,48.65533610097685,,,,,,,,,55.67624646864641,,,,,,,,,59.52789956159182,,,,,,,,,63.759736465303476,,,,,,,,
