graph wizard parameter,value,visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,X 0,X Err. 0,X Lower 0,X Upper 0,Y 0,Y Err. 0,Y Lower 0,Y Upper 0,BGRA 0,X 1,X Err. 1,X Lower 1,X Upper 1,Y 1,Y Err. 1,Y Lower 1,Y Upper 1,BGRA 1,X 2,X Err. 2,X Lower 2,X Upper 2,Y 2,Y Err. 2,Y Lower 2,Y Upper 2,BGRA 2,X 3,X Err. 3,X Lower 3,X Upper 3,Y 3,Y Err. 3,Y Lower 3,Y Upper 3,BGRA 3,X 4,X Err. 4,X Lower 4,X Upper 4,Y 4,Y Err. 4,Y Lower 4,Y Upper 4,BGRA 4,X 5,X Err. 5,X Lower 5,X Upper 5,Y 5,Y Err. 5,Y Lower 5,Y Upper 5,BGRA 5,X 6,X Err. 6,X Lower 6,X Upper 6,Y 6,Y Err. 6,Y Lower 6,Y Upper 6,BGRA 6,X 7,X Err. 7,X Lower 7,X Upper 7,Y 7,Y Err. 7,Y Lower 7,Y Upper 7,BGRA 7,X 8,X Err. 8,X Lower 8,X Upper 8,Y 8,Y Err. 8,Y Lower 8,Y Upper 8,BGRA 8,X 9,X Err. 9,X Lower 9,X Upper 9,Y 9,Y Err. 9,Y Lower 9,Y Upper 9,BGRA 9,X 10,X Err. 10,X Lower 10,X Upper 10,Y 10,Y Err. 10,Y Lower 10,Y Upper 10,BGRA 10,X 11,X Err. 11,X Lower 11,X Upper 11,Y 11,Y Err. 11,Y Lower 11,Y Upper 11,BGRA 11,X 12,X Err. 12,X Lower 12,X Upper 12,Y 12,Y Err. 12,Y Lower 12,Y Upper 12,BGRA 12
plot_type,Filled Line Plot,xlabel,XLABEL HERE,0.0,0.0,,,,,0.0,,,,0.0,,-0.39415685924194016,0.19364122209991058,0.0,1.0,,,,1.994989973208109,,1.0545956715694569,3.346745677749282,255.0,2.0,,,,0.4233600241796016,,-1.1003301721760046,1.5264679232192244,128.0,3.0,,,,-3.910120470660388,,-6.06907376820451,-1.2907757104031505,192.0,4.0,,,,-1.3970774909946293,,-3.7383913112869296,0.9180512358773114,20.0,5.0,,,,5.627999860648433,,2.52042226667827,8.353442242608132,50.0,6.0,,,,2.884829396692296,,-0.6199999690862508,7.797214522436373,20.0,7.0,,,,-7.03756607977336,,-11.447814025166593,-4.051736185496091,255.0,8.0,,,,-4.829156262003915,,-8.827549724292327,-0.6154127129476051,200.0,9.0,,,,8.03784426551621,,2.6932259558947402,12.972081654106224,200.0,10.0,,,,7.153166241728285,,1.3328082791690712,13.374954176709322,100.0,11.0,,,,-8.541424108429476,,-14.049658765028585,-1.0900744862838538,50.0,12.0,,,,-9.76283420803179,,-16.692910865986303,-1.6578731620582023,0.0
plot_style_type,Simple Error Bars,xmm,40,5.0,5.0,,,,,0.5263157894736842,,,,0.5023511546035125,,0.026360587105545938,1.0807853860563559,0.0,1.526315789473684,,,,1.7960652454480692,,0.7794735293075271,2.741878933331301,255.0,2.526315789473684,,,,-1.1259075753837002,,-2.7087880467078254,-0.06814013027674665,128.0,3.526315789473684,,,,-3.804513294147102,,-5.467825127742452,-1.490923399657652,128.0,4.526315789473684,,,,1.2037110653006498,,-0.5518216925154468,3.8931691946736957,180.0,5.526315789473684,,,,5.911123106922614,,2.6928183842720217,9.080109787150183,70.0,6.526315789473684,,,,-0.7095441077279074,,-4.24529582961932,3.7624654705411094,160.0,7.526315789473684,,,,-7.9962201379322,,-11.806678297004547,-4.925962357541589,50.0,8.526315789473685,,,,-0.36039703642141196,,-4.9357840084981355,4.436787821740242,150.0,9.526315789473685,,,,9.938622999424618,,5.011028279059721,13.718923519997384,200.0,10.526315789473685,,,,1.9871521014383347,,-4.770249436966337,5.791114458387396,0.0,11.526315789473685,,,,-11.619659063432067,,-17.660689513337925,-5.474491179680958,94.0,12.526315789473685,,,,-4.129327177557915,,-9.808761075080428,2.8230063039937856,0.0
plot_data_type,XY Pair,xscale,linear,10.0,10.0,,,,,1.0526315789473684,,,,0.8687296180358695,,0.4274538970822138,1.4724619618990102,0.0,2.052631578947368,,,,1.110994874934791,,0.18871749950687422,2.127201644059893,255.0,3.052631578947368,,,,-2.3704228485474683,,-3.7510896770049067,-0.767494743502181,128.0,4.052631578947368,,,,-2.66912862740407,,-4.810728347557649,-1.3495807131992081,0.0,5.052631578947368,,,,3.4786880225948114,,0.7476729125406194,5.265904972604694,20.0,6.052631578947368,,,,4.594267315970054,,1.6026708038732786,5.907915086109786,255.0,7.052631578947368,,,,-4.111863466460813,,-7.579981470431493,1.2226140945628674,230.0,8.052631578947368,,,,-6.790516532357249,,-11.095027544915595,-1.9391055319787334,200.0,9.052631578947368,,,,4.2059117906365735,,-1.139666286845304,8.045726067289715,255.0,10.052631578947368,,,,9.149288844403959,,3.8597537053409585,15.803949353376705,20.0,11.052631578947368,,,,-3.716729656996629,,-9.564036043019238,-0.5111574456123114,0.0,12.052631578947368,,,,-11.552770733920312,,-16.42955587373789,-1.9263261983962217,228.0,13.052631578947368,,,,2.621875560218347,,-4.287749474767508,10.998832693368776,128.0
plot_columns_per_plot,ColumnsPerPlot,xmin,0,15.0,15.0,,,,,1.5789473684210527,,,,0.9999667804441291,,0.6344203723962166,1.410906977995356,1.0,2.5789473684210527,,,,0.12520863736736898,,-0.692027779863668,0.7832690726761393,1.0,3.5789473684210527,,,,-2.973329615436406,,-4.712666299601088,-1.5869785886406365,1.0,4.578947368421053,,,,-0.8112839857525458,,-2.786096674186101,1.177712071456444,1.0,5.578947368421053,,,,4.812079461785787,,1.9521769849871873,8.02361365266047,1.0,6.578947368421053,,,,2.0338692634192643,,-0.42316580203576226,6.020651011574447,1.0,7.578947368421053,,,,-6.401214065911564,,-10.593911126055323,-3.1415237031487115,1.0,8.578947368421053,,,,-3.7468061880985,,-7.663820203315941,2.4464072207976177,1.0,9.578947368421053,,,,7.633795554348753,,3.079438052237122,11.460983615865086,1.0,10.578947368421053,,,,5.8834929253853065,,0.821881005254375,12.190220713529637,1.0,11.578947368421053,,,,-8.414594550164601,,-14.121534922981674,-3.5941637313071375,1.0,12.578947368421053,,,,-8.358863957692055,,-13.526422121005467,-5.608805287557349,1.0,13.578947368421053,,,,8.66340843345504,,1.7949603701311525,15.71285292430494,1.0
plot_plot_columns_count_array,PlotColumnCountArray,xmax,21,20.0,20.0,,,,,2.1052631578947367,,,,0.860540338374244,,0.47259381778324205,1.632910893252757,,3.1052631578947367,,,,-0.8944681471306185,,-1.922566552097419,-0.02512000101666234,,4.105263157894736,,,,-2.7714375362494783,,-4.369113380781088,-1.2736325967496314,,5.105263157894736,,,,1.266152998498246,,-0.7145483876928996,3.160817970348535,,6.105263157894736,,,,4.84297286040814,,2.470008716053495,6.394052551614491,,7.105263157894736,,,,-1.077041462792403,,-3.5507373856134405,2.6511511442089253,,8.105263157894736,,,,-6.957931435940118,,-10.77369237329161,-2.379598010422957,,9.105263157894736,,,,0.3110619141822991,,-4.053409575307532,5.288856405623451,,10.105263157894736,,,,8.995420057256698,,4.425552133054908,13.118852700472395,,11.105263157894736,,,,1.0251967021073853,,-3.5100241290741057,8.358137779248887,,12.105263157894736,,,,-10.834859291297354,,-16.11659300490084,-4.846401720255873,,13.105263157894736,,,,-2.902441773575449,,-9.36498601986853,1.9622439146716342,,14.105263157894736,,,,12.359994054920168,,8.033884563186774,20.940625413778385,
plot_data_source,Worksheet Columns,ylabel,YLABEL HERE,,,,,,,2.631578947368421,,,,0.4881892088664759,,-0.07044746392610879,0.8136653279146241,,3.631578947368421,,,,-1.6720369161145978,,-2.7001333509484993,-0.64541549458423,,4.631578947368421,,,,-1.8193932641925536,,-3.4513101387350185,-0.7684177571078576,,5.631578947368421,,,,3.0008770635837316,,0.3231589433617774,5.318906276327378,,6.631578947368421,,,,3.563006222054356,,1.353641085090565,6.024577962441875,,7.631578947368421,,,,-3.896426580161023,,-7.112129378030155,-1.622586791221103,,8.631578947368421,,,,-5.63132744070601,,-8.607449104842846,-1.6520828886641508,,9.631578947368421,,,,4.284734080603063,,1.1354921717310353,7.0611066489062635,,10.631578947368421,,,,7.922230860242807,,3.618824409680729,12.272813676856284,,11.631578947368421,,,,-4.110592174044728,,-8.642124289836906,1.4276509960308328,,12.631578947368421,,,,-10.322424539659414,,-15.202989957692845,-7.082524633867169,,13.631578947368421,,,,3.339591860428511,,-3.0558739773231944,11.485565197622373,,14.631578947368421,,,,12.711067997740065,,7.236598367933811,17.61668509504232,
plot_polarunits,None,ymm,28.0,,,,,,,3.1578947368421053,,,,-0.01630136119395508,,-0.45929605614241975,0.48918966088221844,,4.157894736842105,,,,-1.9970311122361692,,-2.8075255743752825,-1.273269570817522,,5.157894736842105,,,,-0.3748890939869156,,-2.0608849149074735,0.747143570505606,,6.157894736842105,,,,3.9233459432873388,,2.0479213932331817,5.6539117845981535,,7.157894736842105,,,,1.3186314396510566,,-1.1549902489156711,3.5812584236017915,,8.157894736842106,,,,-5.661155799558281,,-8.292077521242422,-4.273530186141984,,9.157894736842106,,,,-2.7804774275979725,,-6.049067601914361,1.3661286267271464,,10.157894736842106,,,,7.098646149822104,,3.5711521053882413,9.355875532875624,,11.157894736842106,,,,4.704710869370987,,0.7485915909716917,9.56160939138121,,12.157894736842106,,,,-8.133756394933341,,-12.81225980036082,-4.246036486449731,,13.157894736842106,,,,-7.0159923398092605,,-12.891011707606962,0.23768742170392732,,14.157894736842106,,,,8.677689495650599,,2.4510348863181894,14.424911405162263,,15.157894736842106,,,,9.621604166388016,,3.414418800486668,16.4872567886734,
plot_anguleunits,Degrees,yscale,linear,,,,,,,3.6842105263157894,,,,-0.5163795995000284,,-1.0254610319978903,-0.03884166150312846,,4.684210526315789,,,,-1.781483712713164,,-2.6893915452148147,-0.6913161883102027,,5.684210526315789,,,,1.1710872805383277,,-0.37004612955536925,2.4618034131497377,,6.684210526315789,,,,3.783872591116785,,1.9052642801638509,6.079675212602053,,7.684210526315789,,,,-1.282660737823742,,-3.260061233140834,1.2179216907849855,,8.68421052631579,,,,-5.893565281753616,,-8.833863429300793,-3.0387366074834388,,9.68421052631579,,,,0.8229716292398239,,-2.804207744508606,3.878239329780075,,10.68421052631579,,,,7.99114923686235,,3.7830032519278958,13.08721168960847,,11.68421052631579,,,,0.21375457357924302,,-4.049611931334508,3.4961248453119613,,12.68421052631579,,,,-9.955335656347561,,-15.092260871063045,-5.13761269200927,,13.68421052631579,,,,-1.8105232791142134,,-7.438414954408027,4.813858670560091,,14.68421052631579,,,,11.66697438692157,,4.860653973496852,14.616941196941386,,15.68421052631579,,,,3.927835756658043,,-1.5196377515175812,11.764079746784862,
plot_min_angle_row,0,ymin,0,,,,,,,4.2105263157894735,,,,-0.8766880310355383,,-1.3828811621431518,-0.19275452531252338,,5.2105263157894735,,,,-1.0837374917574167,,-2.140074418069611,-0.22789077733792992,,6.2105263157894735,,,,2.4000824205787303,,0.8925653404170785,4.058931931545215,,7.2105263157894735,,,,2.620208621391066,,0.6675993559981941,4.1900994183844205,,8.210526315789473,,,,-3.5367718034742297,,-5.598690319325855,-2.382676329762658,,9.210526315789473,,,,-4.530748148842603,,-7.81078011250125,-1.2207146436449694,,10.210526315789473,,,,4.203664818673336,,0.9363203414369391,7.652051214548368,,11.210526315789473,,,,6.720667214125964,,2.5786010756103868,11.470705483997593,,12.210526315789473,,,,-4.335059227571779,,-9.401781839363426,1.7084077451076072,,13.210526315789473,,,,-9.082278370595635,,-13.704330399201261,-4.108706704805337,,14.210526315789473,,,,3.885004817841043,,-0.748543985968874,7.830935784736523,,15.210526315789473,,,,11.498329032233931,,6.708573805611917,17.892246020812493,,16.210526315789473,,,,-2.829090154387186,,-9.523848709564978,6.296768444710512,
plot_max_angle_row,360,ymax,21,,,,,,,4.7368421052631575,,,,-0.9997010372394821,,-1.4750651271231798,-0.3233779848514479,,5.7368421052631575,,,,-0.09265323041508208,,-1.0275460251847663,0.8373402696345315,,6.7368421052631575,,,,2.9794410209833386,,1.1438562311258043,4.178568643637221,,7.7368421052631575,,,,0.7473259817856978,,-1.2698576541987863,2.509701796682266,,8.736842105263158,,,,-4.833575663259509,,-7.504409393900661,-2.7679350163485883,,9.736842105263158,,,,-1.9415816522019598,,-5.171543100814456,0.5230254360209655,,10.736842105263158,,,,6.446541138495695,,3.0665905538760243,10.043795593252243,,11.736842105263158,,,,3.6310847490073668,,-0.5193102386022477,8.380299044587368,,12.736842105263158,,,,-7.710491293341878,,-12.546160581281088,-4.425971623043832,,13.736842105263158,,,,-5.750897219757412,,-10.061878707887338,-1.864183888778262,,14.736842105263158,,,,8.52896857488414,,4.138594231624703,15.516899202370428,,15.736842105263158,,,,8.217401107561432,,2.3769629312469784,14.734364327736746,,16.736842105263158,,,,-8.820258888739032,,-14.899206360759221,-2.321887739466661,
