visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,ii,label,x,y,bgra,gw_param_keys 1,gw_param_values 1,ii,label,y,x,bgra,gw_param_keys 2,gw_param_values 2,ii,label,x,y,yerr,bgra,gw_param_keys 3,gw_param_values 3,ii,label,x,xerr,y,bgra,gw_param_keys 4,gw_param_values 4,ii,label,x,y,bgra,gw_param_keys 5,gw_param_values 5,ii,label,y,x,bgra,gw_param_keys 6,gw_param_values 6,ii,label,x,y,yerr,bgra,gw_param_keys 7,gw_param_values 7,ii,label,theta,r,bgra,gw_param_keys 8,gw_param_values 8,ii,label,x,y,bgra,gw_param_keys 9,gw_param_values 9,ii,label,x_lower,x,x_upper,y,bgra,gw_param_keys 10,gw_param_values 10,ii,label,y_lower,y,y_upper,x,bgra,gw_param_keys 11,gw_param_values 11,ii,label,x,y_lower,y,y_upper,bgra,gw_param_keys 12,gw_param_values 12,ii,label,x,y,z,gw_param_keys 13,gw_param_values 13,ii,label,x,y,z,class_names
xlabel,X-Axis Label,-150,-150,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Area Plot,0.0,area 0,0.0,1.0882026172983832,0.0,plot_type,Area Plot,1.0,areah 1,1.0,0.2167192382011721,255.0,plot_type,Vertical Bar Chart,2.0,bar 2,X 2,3.741769274985777,0.30000000000000004,128.0,plot_type,Horizontal Bar Chart,3.0,barh 3,4.15258941278765,0.4,X 3,192.0,plot_type,Box Plot,4.0,box 4,Category 4,37.24279755572681,20.0,plot_type,Box Plot,5.0,boxh 5,Category 5,46.24971306891565,50.0,plot_type,Line and Scatter Plot,6.0,line 6,0.0,1.0090238646961847,0.32000000000000006,20.0,plot_type,Polar Plot,7.0,polar 7,0.0,8.1836399680729,255.0,plot_type,Scatter Plot,8.0,scatter 8,10.804114252875257,19.080824237372852,200.0,plot_type,Vertical Violin Plot,9.0,violin 9,9.999904526390575,10.0,10.000095473609425,4.142273999963894,200.0,plot_type,Horizontal Violin Plot,10.0,violinh 10,10.999853761650856,11.0,11.000146238349144,5.355931609560638,100.0,plot_type,Filled Line Plot,11.0,filled_line 11,11.0,0.5737296603193578,0.9048374180359595,1.3539600398573528,50.0,plot_type,Contour,12.0,contour 12,-5.0,-5.0,2.879503240748396,plot_type,Contour,13.0,conf_mat 13,0.0,0.0,15233.0,Class A
xrot,0,0,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Area,,,0.5263157894736842,0.9926871791704017,0.0,plot_style_type,Vertical Area,,,1.526315789473684,0.33454710939094146,255.0,plot_style_type,Simple Error Bars,,,,,,128.0,plot_style_type,Simple Error Bars,,,,,,128.0,plot_style_type,Vertical Box Plot,,,,27.166678185747323,180.0,plot_style_type,Horizontal Box Plot,,,,19.319010009015095,70.0,plot_style_type,Simple Error Bars,,,0.5263157894736842,-1.9489363175555825,0.32000000000000006,160.0,plot_style_type,Lines,,,0.21666156231653746,8.84881282959919,50.0,plot_style_type,Simple Scatter,,,9.472326804960122,16.270914039730233,150.0,plot_style_type,NONE_STR,,,9.999883601963768,,10.000116398036232,4.538324775513807,200.0,plot_style_type,NONE_STR,,,10.99982015351256,,11.00017984648744,5.789363286761224,0.0,plot_style_type,NONE_STR,,,11.526315789473685,-0.0137759380205692,0.7921821003439233,1.2632869228001673,94.0,plot_style_type,NONE_STR,,,-4.795918367346939,-5.0,2.8587561258249816,plot_style_type,NONE_STR,,,0.0,1.0,16885.0,Class B
xmm,40,150,150,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,,,1.0526315789473684,0.9440516783283374,0.0,plot_data_type,YX Pair,,,2.052631578947368,0.31077236454452173,255.0,plot_data_type,XY Pair,,,,,,128.0,plot_data_type,YX Pair,,,,,,0.0,plot_data_type,X Many Y,,,,28.424156659505897,20.0,plot_data_type,Y Many X,,,,24.658006388575807,255.0,plot_data_type,XY Pair,,,1.0526315789473684,-4.524079640881129,0.32000000000000006,230.0,plot_data_type,Theta R,,,0.43332312463307493,5.920864286518379,200.0,plot_data_type,XY Pair,,,8.840383227214392,17.127426309054513,255.0,plot_data_type,NONE_STR,,,9.999858522448976,,10.000141477551024,4.934375551063721,20.0,plot_data_type,NONE_STR,,,10.999779479226946,,11.000220520773054,6.22279496396181,0.0,plot_data_type,NONE_STR,,,12.052631578947368,0.20333331915093833,0.6561737647074352,0.4257583342394212,228.0,plot_data_type,NONE_STR,,,-4.591836734693878,-5.0,1.2218096139629258,plot_data_type,NONE_STR,,,0.0,2.0,13298.0,Class C
xscale,linear,300,300,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,,,1.5789473684210527,0.8913849655475399,0.5,plot_columns_per_plot,ColumnsPerPlot,,,2.5789473684210527,0.581175384141445,0.5,plot_columns_per_plot,ColumnsPerPlot,,,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,,,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,,,,22.048545891965095,1.0,plot_columns_per_plot,ColumnsPerPlot,,,,38.95554890503013,1.0,plot_columns_per_plot,ColumnsPerPlot,,,1.5789473684210527,-6.177390766171514,0.32000000000000006,1.0,plot_columns_per_plot,ColumnsPerPlot,,,0.6499846869496124,5.905475235238342,1.0,plot_columns_per_plot,ColumnsPerPlot,,,6.791827858476121,14.642106844253522,1.0,plot_columns_per_plot,NONE_STR,,,9.999828559957987,,10.000171440042013,5.330426326613635,1.0,plot_columns_per_plot,NONE_STR,,,10.999730408979092,,11.000269591020908,6.656226641162396,1.0,plot_columns_per_plot,NONE_STR,,,12.578947368421053,0.0028929478117001306,0.5142236698092844,0.922252078507754,0.5,plot_columns_per_plot,NONE_STR,,,-4.387755102040816,-5.0,2.9534857645556096,plot_columns_per_plot,NONE_STR,,,0.0,3.0,17913.0,Class D
xmin,-18,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,,,2.1052631578947367,0.7353481620457282,,plot_plot_columns_count_array,PlotColumnCountArray,,,3.1052631578947367,0.6826884230481626,,plot_plot_columns_count_array,PlotColumnCountArray,,,,,,,plot_plot_columns_count_array,PlotColumnCountArray,,,,,,,plot_plot_columns_count_array,PlotColumnCountArray,,,,26.37793436726037,,plot_plot_columns_count_array,PlotColumnCountArray,,,,27.31798226895259,,plot_plot_columns_count_array,PlotColumnCountArray,,,2.1052631578947367,-6.216782269911322,0.32000000000000006,,plot_plot_columns_count_array,PlotColumnCountArray,,,0.8666462492661499,7.5364816503018375,,plot_plot_columns_count_array,PlotColumnCountArray,,,10.516029086016609,19.0237621353028,,plot_plot_columns_count_array,NONE_STR,,,9.99979287941847,,10.00020712058153,5.726477102163548,,plot_plot_columns_count_array,NONE_STR,,,10.999671397234055,,11.000328602765945,7.089658318362983,,plot_plot_columns_count_array,NONE_STR,,,13.105263157894736,0.38221489924981217,0.3812629715209348,0.3363089084190167,,plot_plot_columns_count_array,NONE_STR,,,-4.183673469387755,-5.0,2.6077546700366474,plot_plot_columns_count_array,NONE_STR,,,1.0,0.0,8091.0,
xmax,378,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,,,2.631578947368421,0.45144940659078975,,plot_data_source,Worksheet Columns,,,3.631578947368421,0.8729387232579603,,plot_data_source,Worksheet Columns,,,,,,,plot_data_source,Worksheet Columns,,,,,,,plot_data_source,Worksheet Columns,,,,31.46970700449014,,plot_data_source,Worksheet Columns,,,,33.961504976434604,,plot_data_source,Worksheet Columns,,,2.631578947368421,-4.143792085121271,0.32000000000000006,,plot_data_source,Worksheet Columns,,,1.0833078115826873,7.360599108062678,,plot_data_source,Worksheet Columns,,,9.635965586495276,20.190570341900063,,plot_data_source,NONE_STR,,,9.999750526709962,,10.000249473290038,6.122527877713461,,plot_data_source,NONE_STR,,,10.999600654883658,,11.000399345116342,7.523089995563569,,plot_data_source,NONE_STR,,,13.631578947368421,0.5036543399922897,0.2674462773647325,1.3481448939275054,,plot_data_source,NONE_STR,,,-3.979591836734694,-5.0,3.2165634334475617,plot_data_source,NONE_STR,,,1.0,1.0,15344.0,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,,,3.1578947368421053,0.4164043314114002,,plot_polarunits,Standard Deviation,,,4.157894736842105,0.8469197342716779,,plot_polarunits,NONE_STR,,,,,,,plot_polarunits,NONE_STR,,,,,,,plot_polarunits,Standard Deviation,,,,21.976004004269384,,plot_polarunits,Standard Deviation,,,,24.09976196609061,,plot_polarunits,NONE_STR,,,3.1578947368421053,-0.9291818317317235,0.32000000000000006,,plot_polarunits,Standard Deviation,,,1.2999693738992248,6.612465932146012,,plot_polarunits,Standard Deviation,,,8.760410141398168,17.343189691115693,,plot_polarunits,NONE_STR,,,9.999700416190095,,10.000299583809905,6.518578653263375,,plot_polarunits,NONE_STR,,,10.99951611918475,,11.00048388081525,7.956521672764155,,plot_polarunits,NONE_STR,,,14.157894736842106,0.4177669353084981,0.17749570558158123,0.30815846680368725,,plot_polarunits,NONE_STR,,,-3.7755102040816326,-5.0,3.166851511419194,plot_polarunits,NONE_STR,,,1.0,2.0,9878.0,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,,,3.6842105263157894,0.2497763576805731,,plot_anguleunits,Degrees,,,4.684210526315789,1.2067318122243957,,plot_anguleunits,Degrees,,,,,,,plot_anguleunits,Degrees,,,,,,,plot_anguleunits,Degrees,,,,23.12722110429886,,plot_anguleunits,Degrees,,,,22.133468224190434,,plot_anguleunits,Degrees,,,3.6842105263157894,2.891834512045191,0.32000000000000006,,plot_anguleunits,Degrees,,,1.5166309362157622,7.2388358562849735,,plot_anguleunits,Degrees,,,6.760839296269884,17.147188751138838,,plot_anguleunits,NONE_STR,,,9.999641317707805,,10.000358682292195,6.914629428813289,,plot_anguleunits,NONE_STR,,,10.999415421582281,,11.000584578417719,8.389953349964742,,plot_anguleunits,NONE_STR,,,14.68421052631579,0.5997893302043136,0.11144959807474411,0.06227028529297094,,plot_anguleunits,NONE_STR,,,-3.571428571428571,-5.0,2.260232080617715,plot_anguleunits,NONE_STR,,,1.0,3.0,12147.0,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,,,4.2105263157894735,0.1646867472588116,,plot_min_angle_row,0,,,5.2105263157894735,1.0290058407086877,,plot_min_angle_row,0,,,,,,,plot_min_angle_row,0,,,,,,,plot_min_angle_row,0,,,,18.710683573770392,,plot_min_angle_row,0,,,,42.651875870227045,,plot_min_angle_row,0,,,4.2105263157894735,5.5556308973729625,0.32000000000000006,,plot_min_angle_row,0,,,1.7332924985322997,7.942140198208928,,plot_min_angle_row,0,,,13.494935169742387,20.012591908283348,,plot_min_angle_row,NONE_STR,,,9.999571843227573,,10.000428156772427,7.3106802043632015,,plot_min_angle_row,NONE_STR,,,10.999295853576765,,11.000704146423235,8.823385027165328,,plot_min_angle_row,NONE_STR,,,15.210526315789473,-0.3138939098618422,0.06620770396255013,0.11914674819857082,,plot_min_angle_row,NONE_STR,,,-3.36734693877551,-5.0,4.19867421092988,plot_min_angle_row,NONE_STR,,,2.0,0.0,22766.0,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,,,4.7368421052631575,0.12658812148280862,,plot_max_angle_row,360,,,5.7368421052631575,0.9093663501450505,,plot_max_angle_row,360,,,,,,,plot_max_angle_row,360,,,,,,,plot_max_angle_row,360,,,,33.402789409742255,,plot_max_angle_row,360,,,,24.396823888348774,,plot_max_angle_row,360,,,4.7368421052631575,6.829351709673102,0.32000000000000006,,plot_max_angle_row,360,,,1.9499540608488373,6.495564462710478,,plot_max_angle_row,360,,,6.405037673748591,16.81645969664935,,plot_max_angle_row,NONE_STR,,,9.99949043321768,,10.00050956678232,7.7067309799131145,,plot_max_angle_row,NONE_STR,,,10.999154330871772,,11.000845669128228,9.256816704365914,,plot_max_angle_row,NONE_STR,,,15.736842105263158,0.7976482454160658,0.037211562947768125,0.3812444918581096,,plot_max_angle_row,NONE_STR,,,-3.163265306122449,-5.0,3.713620909214808,plot_max_angle_row,NONE_STR,,,2.0,1.0,12741.0,
