visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,ii,label,x,y_lower,y_upper,bgra,gw_param_keys 1,gw_param_values 1,ii,label,x,y,yerr,bgra,gw_param_keys 2,gw_param_values 2,ii,label,x,xerr,y,bgra,gw_param_keys 3,gw_param_values 3,ii,label,x,y,bgra,gw_param_keys 4,gw_param_values 4,ii,label,y,x,bgra,gw_param_keys 5,gw_param_values 5,ii,label,x,y,yerr,bgra,gw_param_keys 6,gw_param_values 6,ii,label,degree,r,bgra,gw_param_keys 7,gw_param_values 7,ii,label,x,y,bgra,gw_param_keys 8,gw_param_values 8,ii,label,x_lower,x,x_upper,y,bgra,gw_param_keys 9,gw_param_values 9,ii,label,x,y_lower,y,y_upper,bgra,gw_param_keys 10,gw_param_values 10,ii,label,x,y,z,gw_param_keys 11,gw_param_values 11,ii,label,x,y,z,class_names
xlabel,X-Axis Label,-150,-5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Area Plot,0.0,area 0,0.0,0.9117973827016168,0.872350509208296,0.0,plot_type,Vertical Bar Chart,1.0,bar 1,X 1,3.030310575487534,0.2,255.0,plot_type,Horizontal Bar Chart,2.0,barh 2,3.741769274985777,0.30000000000000004,X 2,128.0,plot_type,Box Plot,3.0,box 3,Category 3,23.188911533847893,192.0,plot_type,Box Plot,4.0,boxh 4,Category 4,37.24279755572681,20.0,plot_type,Line and Scatter Plot,5.0,line 5,0.0,3.663586902765207,0.30000000000000004,50.0,plot_type,Polar Plot,6.0,polar 6,0.0,5.610788261482083,20.0,plot_type,Scatter Plot,7.0,scatter 7,1.4381454634564728,13.01319445126479,255.0,plot_type,Violin Plot,8.0,violin 8,8.999840957727736,9.0,9.000159042272264,2.882269954101485,200.0,plot_type,Filled Line Plot,9.0,filled_line 9,9.0,-0.24021520329996696,0.0003035391380788668,0.0615497780052562,200.0,plot_type,Contour,10.0,contour 10,-5.0,-5.0,1.7541524359904144,plot_type,Contour,11.0,conf_mat 11,0.0,0.0,19479.0,Class A
xrot,0,0,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Area,,,0.5263157894736842,0.9526714583336793,1.0053602485240585,0.0,plot_style_type,Simple Error Bars,,,,,,255.0,plot_style_type,Simple Error Bars,,,,,,128.0,plot_style_type,Vertical Box Plot,,,,27.22983981442819,128.0,plot_style_type,Horizontal Box Plot,,,,27.166678185747323,180.0,plot_style_type,Simple Error Bars,,,0.5263157894736842,0.22021190586706457,0.30000000000000004,70.0,plot_style_type,Lines,,,12.413793103448276,6.083607669132811,160.0,plot_style_type,Simple Scatter,,,6.342878380660096,13.536469065026369,50.0,plot_style_type,NONE_STR,,,8.999805422541986,,9.000194577458014,3.248120255724649,150.0,plot_style_type,NONE_STR,,,9.526315789473685,0.08879479498586867,0.00011448471331172139,-0.41157581598510184,200.0,plot_style_type,NONE_STR,,,-4.795918367346939,-5.0,1.355040436121331,plot_style_type,NONE_STR,,,0.0,1.0,12963.0,Class B
xmm,40,150,5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,,,1.0526315789473684,0.8461778799177634,0.9383365890660257,0.0,plot_data_type,XY Pair,,,,,,255.0,plot_data_type,YX Pair,,,,,,128.0,plot_data_type,X Many Y,,,,16.890631085684415,0.0,plot_data_type,Y Many X,,,,28.424156659505897,20.0,plot_data_type,XY Pair,,,1.0526315789473684,-2.006108646945539,0.30000000000000004,255.0,plot_data_type,Theta R,,,24.82758620689655,6.657652867599248,230.0,plot_data_type,XY Pair,,,2.147246741631735,12.705073943769506,200.0,plot_data_type,NONE_STR,,,8.999762661502434,,9.000237338497566,3.6139705573478134,255.0,plot_data_type,NONE_STR,,,10.052631578947368,-0.9060244074122852,4.085259693555967e-05,-0.12720777404961167,20.0,plot_data_type,NONE_STR,,,-4.591836734693878,-5.0,2.1224944208801335,plot_data_type,NONE_STR,,,0.0,2.0,17436.0,Class C
xscale,linear,300,10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,,,1.5789473684210527,0.667295645627394,0.7422320545671448,0.5,plot_columns_per_plot,ColumnsPerPlot,,,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,,,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,,,,27.43378939223772,1.0,plot_columns_per_plot,ColumnsPerPlot,,,,22.048545891965095,1.0,plot_columns_per_plot,ColumnsPerPlot,,,1.5789473684210527,-4.606241089998206,0.30000000000000004,1.0,plot_columns_per_plot,ColumnsPerPlot,,,37.24137931034483,5.449313770234292,1.0,plot_columns_per_plot,ColumnsPerPlot,,,9.111570734349106,15.817216008317331,1.0,plot_columns_per_plot,NONE_STR,,,8.999711370728171,,9.000288629271829,3.979820858970978,1.0,plot_columns_per_plot,NONE_STR,,,10.578947368421053,0.3700203297781073,1.3792125530675148e-05,0.7422448727270553,0.5,plot_columns_per_plot,NONE_STR,,,-4.387755102040816,-5.0,2.246858141800623,plot_columns_per_plot,NONE_STR,,,0.0,3.0,16423.0,Class D
xmin,-18,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,,,2.1052631578947367,0.5485923630307313,0.7554579937376101,,plot_plot_columns_count_array,PlotColumnCountArray,,,,,,,plot_plot_columns_count_array,PlotColumnCountArray,,,,,,,plot_plot_columns_count_array,PlotColumnCountArray,,,,19.089441631423966,,plot_plot_columns_count_array,PlotColumnCountArray,,,,26.37793436726037,,plot_plot_columns_count_array,PlotColumnCountArray,,,2.1052631578947367,-5.370025312765676,0.30000000000000004,,plot_plot_columns_count_array,PlotColumnCountArray,,,49.6551724137931,6.615141099926113,,plot_plot_columns_count_array,PlotColumnCountArray,,,3.7281925766399064,13.246704805633412,,plot_plot_columns_count_array,NONE_STR,,,8.99965004681987,,9.00034995318013,4.345671160594142,,plot_plot_columns_count_array,NONE_STR,,,11.105263157894736,-0.33382634938854877,4.405367030933301e-06,-0.566361064269887,,plot_plot_columns_count_array,NONE_STR,,,-4.183673469387755,-5.0,1.8146792295542034,plot_plot_columns_count_array,NONE_STR,,,1.0,0.0,22741.0,
xmax,378,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,,,2.631578947368421,0.5491771945784308,0.42759501685467205,,plot_data_source,Worksheet Columns,,,,,,,plot_data_source,Worksheet Columns,,,,,,,plot_data_source,Worksheet Columns,,,,27.933947992524043,,plot_data_source,Worksheet Columns,,,,31.46970700449014,,plot_data_source,Worksheet Columns,,,2.631578947368421,-5.847807166103474,0.30000000000000004,,plot_data_source,Worksheet Columns,,,62.06896551724138,6.962862936927273,,plot_data_source,Worksheet Columns,,,9.516464876123866,15.679640506118632,,plot_data_source,NONE_STR,,,8.999576963516857,,9.000423036483143,4.7115214622173065,,plot_data_source,NONE_STR,,,11.631578947368421,0.7210283532792635,1.331289041611719e-06,-0.4037573272597072,,plot_data_source,NONE_STR,,,-3.979591836734694,-5.0,0.7798464790648967,plot_data_source,NONE_STR,,,1.0,1.0,20932.0,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,,,3.1578947368421053,0.32139548965884124,0.37118783640019304,,plot_polarunits,NONE_STR,,,,,,,plot_polarunits,NONE_STR,,,,,,,plot_polarunits,Standard Deviation,,,,18.9200004494324,,plot_polarunits,Standard Deviation,,,,21.976004004269384,,plot_polarunits,NONE_STR,,,3.1578947368421053,-4.486245148568311,0.30000000000000004,,plot_polarunits,Standard Deviation,,,74.48275862068967,8.199897393104017,,plot_polarunits,Standard Deviation,,,4.802841897123409,14.50150212134005,,plot_polarunits,NONE_STR,,,8.999490146981683,,9.000509853018317,5.077371763840471,,plot_polarunits,NONE_STR,,,12.157894736842106,-1.2260458624497703,3.8062909374625904e-07,0.1681256700259627,,plot_polarunits,NONE_STR,,,-3.7755102040816326,-5.0,1.675118571194885,plot_polarunits,NONE_STR,,,1.0,2.0,10977.0,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,,,3.6842105263157894,0.2649120785103429,0.2479850255941663,,plot_anguleunits,Degrees,,,,,,,plot_anguleunits,Degrees,,,,,,,plot_anguleunits,Degrees,,,,20.877488709841902,,plot_anguleunits,Degrees,,,,23.12722110429886,,plot_anguleunits,Degrees,,,3.6842105263157894,0.6505054606071484,0.30000000000000004,,plot_anguleunits,Degrees,,,86.89655172413792,4.883231067987517,,plot_anguleunits,Degrees,,,5.777001064113591,13.094008724096785,,plot_anguleunits,NONE_STR,,,8.999387349893441,,9.000612650106559,5.443222065463635,,plot_anguleunits,NONE_STR,,,12.68421052631579,0.40938025302233755,1.0296057720243205e-07,-0.13419144174772882,,plot_anguleunits,NONE_STR,,,-3.571428571428571,-5.0,3.4646103703495927,plot_anguleunits,NONE_STR,,,1.0,3.0,16468.0,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,,,4.2105263157894735,0.1750086324381674,0.2464866505664124,,plot_min_angle_row,0,,,,,,,plot_min_angle_row,0,,,,,,,plot_min_angle_row,0,,,,18.06607179072518,,plot_min_angle_row,0,,,,18.710683573770392,,plot_min_angle_row,0,,,4.2105263157894735,2.3174811034835474,0.30000000000000004,,plot_min_angle_row,0,,,99.3103448275862,7.238953083315056,,plot_min_angle_row,0,,,3.3977518740678168,10.603989181165236,,plot_min_angle_row,NONE_STR,,,8.999266024592824,,9.000733975407176,5.809072367086799,,plot_min_angle_row,NONE_STR,,,13.210526315789473,0.06722201908932784,2.6349921159400767e-08,0.23995584247467255,,plot_min_angle_row,NONE_STR,,,-3.36734693877551,-5.0,0.7902344305804903,plot_min_angle_row,NONE_STR,,,2.0,0.0,9505.0,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,,,4.7368421052631575,0.08552827128897139,0.17952613488090424,,plot_max_angle_row,360,,,,,,,plot_max_angle_row,360,,,,,,,plot_max_angle_row,360,,,,20.842278395527266,,plot_max_angle_row,360,,,,33.402789409742255,,plot_max_angle_row,360,,,4.7368421052631575,4.6050208581034715,0.30000000000000004,,plot_max_angle_row,360,,,111.72413793103449,7.8487394949420874,,plot_max_angle_row,360,,,5.646528675402538,13.543636442123276,,plot_max_angle_row,NONE_STR,,,8.999123295589252,,9.000876704410748,6.174922668709963,,plot_max_angle_row,NONE_STR,,,13.736842105263158,1.1561230757666707,6.3800933853599825e-09,0.35968683331149603,,plot_max_angle_row,NONE_STR,,,-3.163265306122449,-5.0,1.9798107142134567,plot_max_angle_row,NONE_STR,,,2.0,1.0,15766.0,
