visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label,x,y,bgra,gw_param_keys 1,gw_param_values 1,label,x,y,yerr,bgra,gw_param_keys 2,gw_param_values 2,label,x,xerr,y,bgra,gw_param_keys 3,gw_param_values 3,label,x,y,bgra,gw_param_keys 4,gw_param_values 4,label,y,x,bgra,gw_param_keys 5,gw_param_values 5,label,x,y,yerr,bgra,gw_param_keys 6,gw_param_values 6,label,theta,r,bgra,gw_param_keys 7,gw_param_values 7,label,x,y,bgra,gw_param_keys 8,gw_param_values 8,label,x_lower,x,x_upper,y,bgra,gw_param_keys 9,gw_param_values 9,label,y_lower,y,y_upper,x,bgra,gw_param_keys 10,gw_param_values 10,label,x,y_lower,y,y_upper,bgra,gw_param_keys 11,gw_param_values 11,label,x,y,z,gw_param_keys 12,gw_param_values 12,label,x,y,z,class_names
xlabel,X-Axis Label,-150,-150,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Area Plot,area 0,0.0,1.0882026172983832,0.0,plot_type,Vertical Bar Chart,bar 1,X 1,3.030310575487534,0.2,255.0,plot_type,Horizontal Bar Chart,barh 2,3.741769274985777,0.30000000000000004,X 2,128.0,plot_type,Box Plot,box 3,Category 3,23.188911533847893,192.0,plot_type,Box Plot,boxh 4,Category 4,37.24279755572681,20.0,plot_type,Line and Scatter Plot,line 5,0.0,3.663586902765207,0.30000000000000004,50.0,plot_type,Polar Plot,polar 6,0.0,5.610788261482083,20.0,plot_type,Scatter Plot,scatter 7,1.4381454634564728,13.01319445126479,255.0,plot_type,Vertical Violin Plot,violin 8,8.999840957727736,9.0,9.000159042272264,2.882269954101485,200.0,plot_type,Horizontal Violin Plot,violinh 9,9.999904526390575,10.0,10.000095473609425,4.142273999963894,200.0,plot_type,Filled Line Plot,filled_line 10,10.0,-0.049230821280728546,0.0820849986238988,0.34419174414744397,100.0,plot_type,Contour,contour 11,-5.0,-5.0,0.8692778666041846,plot_type,Contour,conf_mat 12,0.0,0.0,17679.0,Class A
xrot,0,0,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Area,,0.5263157894736842,0.9926871791704017,0.0,plot_style_type,Simple Error Bars,,,,,255.0,plot_style_type,Simple Error Bars,,,,,128.0,plot_style_type,Vertical Box Plot,,,27.22983981442819,128.0,plot_style_type,Horizontal Box Plot,,,27.166678185747323,180.0,plot_style_type,Simple Error Bars,,0.5263157894736842,0.22021190586706457,0.30000000000000004,70.0,plot_style_type,Lines,,0.21666156231653746,6.083607669132811,160.0,plot_style_type,Simple Scatter,,6.342878380660096,13.536469065026369,50.0,plot_style_type,NONE_STR,,8.999805422541986,,9.000194577458014,3.248120255724649,150.0,plot_style_type,NONE_STR,,9.999883601963768,,10.000116398036232,4.538324775513807,200.0,plot_style_type,NONE_STR,,10.526315789473685,-0.002768747201898618,0.04716908308011929,0.523474612193116,0.0,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,3.498918413824939,plot_style_type,NONE_STR,,0.0,1.0,18078.0,Class B
xmm,40,150,150,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,,1.0526315789473684,0.9440516783283374,0.0,plot_data_type,XY Pair,,,,,255.0,plot_data_type,YX Pair,,,,,128.0,plot_data_type,X Many Y,,,16.890631085684415,0.0,plot_data_type,Y Many X,,,28.424156659505897,20.0,plot_data_type,XY Pair,,1.0526315789473684,-2.006108646945539,0.30000000000000004,255.0,plot_data_type,Theta R,,0.43332312463307493,6.657652867599248,230.0,plot_data_type,XY Pair,,2.147246741631735,12.705073943769506,200.0,plot_data_type,NONE_STR,,8.999762661502434,,9.000237338497566,3.6139705573478134,255.0,plot_data_type,NONE_STR,,9.999858522448976,,10.000141477551024,4.934375551063721,20.0,plot_data_type,NONE_STR,,11.052631578947368,0.2343672117749636,0.02564427566961024,-0.10007298521364773,0.0,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,2.5285206288011652,plot_data_type,NONE_STR,,0.0,2.0,22390.0,Class C
xscale,linear,300,300,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,,1.5789473684210527,0.8913849655475399,0.5,plot_columns_per_plot,ColumnsPerPlot,,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,,,,,1.0,plot_columns_per_plot,ColumnsPerPlot,,,27.43378939223772,1.0,plot_columns_per_plot,ColumnsPerPlot,,,22.048545891965095,1.0,plot_columns_per_plot,ColumnsPerPlot,,1.5789473684210527,-4.606241089998206,0.30000000000000004,1.0,plot_columns_per_plot,ColumnsPerPlot,,0.6499846869496124,5.449313770234292,1.0,plot_columns_per_plot,ColumnsPerPlot,,9.111570734349106,15.817216008317331,1.0,plot_columns_per_plot,NONE_STR,,8.999711370728171,,9.000288629271829,3.979820858970978,1.0,plot_columns_per_plot,NONE_STR,,9.999828559957987,,10.000171440042013,5.330426326613635,1.0,plot_columns_per_plot,NONE_STR,,11.578947368421053,-0.42353045271715034,0.013190546929511734,0.6305797373646421,0.5,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,2.829338556874124,plot_columns_per_plot,NONE_STR,,0.0,3.0,18949.0,Class D
xmin,-18,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,,2.1052631578947367,0.7353481620457282,,plot_plot_columns_count_array,PlotColumnCountArray,,,,,,plot_plot_columns_count_array,PlotColumnCountArray,,,,,,plot_plot_columns_count_array,PlotColumnCountArray,,,19.089441631423966,,plot_plot_columns_count_array,PlotColumnCountArray,,,26.37793436726037,,plot_plot_columns_count_array,PlotColumnCountArray,,2.1052631578947367,-5.370025312765676,0.30000000000000004,,plot_plot_columns_count_array,PlotColumnCountArray,,0.8666462492661499,6.615141099926113,,plot_plot_columns_count_array,PlotColumnCountArray,,3.7281925766399064,13.246704805633412,,plot_plot_columns_count_array,NONE_STR,,8.99965004681987,,9.00034995318013,4.345671160594142,,plot_plot_columns_count_array,NONE_STR,,9.99979287941847,,10.00020712058153,5.726477102163548,,plot_plot_columns_count_array,NONE_STR,,12.105263157894736,0.29892544431957696,0.006419105801133494,-0.2371031053816995,,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,2.0502205840336147,plot_plot_columns_count_array,NONE_STR,,1.0,0.0,17976.0,
xmax,378,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,,2.631578947368421,0.45144940659078975,,plot_data_source,Worksheet Columns,,,,,,plot_data_source,Worksheet Columns,,,,,,plot_data_source,Worksheet Columns,,,27.933947992524043,,plot_data_source,Worksheet Columns,,,31.46970700449014,,plot_data_source,Worksheet Columns,,2.631578947368421,-5.847807166103474,0.30000000000000004,,plot_data_source,Worksheet Columns,,1.0833078115826873,6.962862936927273,,plot_data_source,Worksheet Columns,,9.516464876123866,15.679640506118632,,plot_data_source,NONE_STR,,8.999576963516857,,9.000423036483143,4.7115214622173065,,plot_data_source,NONE_STR,,9.999750526709962,,10.000249473290038,6.122527877713461,,plot_data_source,NONE_STR,,12.631578947368421,0.03974290903465589,0.0029554636910430004,-0.5901115852330407,,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,3.1022281544718027,plot_data_source,NONE_STR,,1.0,1.0,24835.0,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,,3.1578947368421053,0.4164043314114002,,plot_polarunits,NONE_STR,,,,,,plot_polarunits,NONE_STR,,,,,,plot_polarunits,Standard Deviation,,,18.9200004494324,,plot_polarunits,Standard Deviation,,,21.976004004269384,,plot_polarunits,NONE_STR,,3.1578947368421053,-4.486245148568311,0.30000000000000004,,plot_polarunits,Standard Deviation,,1.2999693738992248,8.199897393104017,,plot_polarunits,Standard Deviation,,4.802841897123409,14.50150212134005,,plot_polarunits,NONE_STR,,8.999490146981683,,9.000509853018317,5.077371763840471,,plot_polarunits,NONE_STR,,9.999700416190095,,10.000299583809905,6.518578653263375,,plot_polarunits,NONE_STR,,13.157894736842106,-0.7852020879252443,0.0012874076531086975,0.2618702349580531,,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,2.0934038946591813,plot_polarunits,NONE_STR,,1.0,2.0,19295.0,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,,3.6842105263157894,0.2497763576805731,,plot_anguleunits,Degrees,,,,,,plot_anguleunits,Degrees,,,,,,plot_anguleunits,Degrees,,,20.877488709841902,,plot_anguleunits,Degrees,,,23.12722110429886,,plot_anguleunits,Degrees,,3.6842105263157894,0.6505054606071484,0.30000000000000004,,plot_anguleunits,Degrees,,1.5166309362157622,4.883231067987517,,plot_anguleunits,Degrees,,5.777001064113591,13.094008724096785,,plot_anguleunits,NONE_STR,,8.999387349893441,,9.000612650106559,5.443222065463635,,plot_anguleunits,NONE_STR,,9.999641317707805,,10.000358682292195,6.914629428813289,,plot_anguleunits,NONE_STR,,13.68421052631579,-0.7446830103346467,0.0005305739321155165,0.0023814500314335886,,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,1.7840392745720601,plot_anguleunits,NONE_STR,,1.0,3.0,13120.0,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,,4.2105263157894735,0.1646867472588116,,plot_min_angle_row,0,,,,,,plot_min_angle_row,0,,,,,,plot_min_angle_row,0,,,18.06607179072518,,plot_min_angle_row,0,,,18.710683573770392,,plot_min_angle_row,0,,4.2105263157894735,2.3174811034835474,0.30000000000000004,,plot_min_angle_row,0,,1.7332924985322997,7.238953083315056,,plot_min_angle_row,0,,3.3977518740678168,10.603989181165236,,plot_min_angle_row,NONE_STR,,8.999266024592824,,9.000733975407176,5.809072367086799,,plot_min_angle_row,NONE_STR,,9.999571843227573,,10.000428156772427,7.3106802043632015,,plot_min_angle_row,NONE_STR,,14.210526315789473,0.25992213202976616,0.0002068783742514285,0.803432331248742,,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,2.046554049524059,plot_min_angle_row,NONE_STR,,2.0,0.0,14140.0,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,,4.7368421052631575,0.12658812148280862,,plot_max_angle_row,360,,,,,,plot_max_angle_row,360,,,,,,plot_max_angle_row,360,,,20.842278395527266,,plot_max_angle_row,360,,,33.402789409742255,,plot_max_angle_row,360,,4.7368421052631575,4.6050208581034715,0.30000000000000004,,plot_max_angle_row,360,,1.9499540608488373,7.8487394949420874,,plot_max_angle_row,360,,5.646528675402538,13.543636442123276,,plot_max_angle_row,NONE_STR,,8.999123295589252,,9.000876704410748,6.174922668709963,,plot_max_angle_row,NONE_STR,,9.99949043321768,,10.00050956678232,7.7067309799131145,,plot_max_angle_row,NONE_STR,,14.736842105263158,0.4120746209260193,7.631741375300311e-05,0.960710584633889,,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,3.7811012224088856,plot_max_angle_row,NONE_STR,,2.0,1.0,10582.0,
