visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,y,x,xerr,bgra,gw_param_keys 1,gw_param_values 1,label 1,y,x,xerr,bgra,gw_param_keys 2,gw_param_values 2,label 2,y,x,xerr,bgra,gw_param_keys 3,gw_param_values 3,label 3,y,x,xerr,bgra,gw_param_keys 4,gw_param_values 4,label 4,y,x,xerr,bgra,gw_param_keys 5,gw_param_values 5,label 5,y,x,xerr,bgra,gw_param_keys 6,gw_param_values 6,label 6,y,x,xerr,bgra,gw_param_keys 7,gw_param_values 7,label 7,y,x,xerr,bgra,gw_param_keys 8,gw_param_values 8,label 8,y,x,xerr,bgra,gw_param_keys 9,gw_param_values 9,label 9,y,x,xerr,bgra,gw_param_keys 10,gw_param_values 10,label 10,y,x,xerr,bgra,gw_param_keys 11,gw_param_values 11,label 11,y,x,xerr,bgra,gw_param_keys 12,gw_param_values 12,label 12,y,x,xerr,bgra
xlabel,X-Axis Label,0,auto,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Horizontal Bar Chart,barh,X 0,1.5292157037902991,0.1,0.0,plot_type,Horizontal Bar Chart,barh,X 1,3.030310575487534,0.2,255.0,plot_type,Horizontal Bar Chart,barh,X 2,3.741769274985777,0.30000000000000004,128.0,plot_type,Horizontal Bar Chart,barh,X 3,4.15258941278765,0.4,192.0,plot_type,Horizontal Bar Chart,barh,X 4,7.3521802810721155,0.5,20.0,plot_type,Horizontal Bar Chart,barh,X 5,7.015773657870038,0.6000000000000001,50.0,plot_type,Horizontal Bar Chart,barh,X 6,10.232622569972516,0.7000000000000001,20.0,plot_type,Horizontal Bar Chart,barh,X 7,9.168901954119269,0.8,255.0,plot_type,Horizontal Bar Chart,barh,X 8,8.90793726739836,0.9,200.0,plot_type,Horizontal Bar Chart,barh,X 9,4.661805952521309,1.0,200.0,plot_type,Horizontal Bar Chart,barh,X 10,13.366458738873455,1.1,100.0,plot_type,Horizontal Bar Chart,barh,X 11,7.475504973580709,1.2000000000000002,50.0,plot_type,Horizontal Bar Chart,barh,X 12,11.60773524161196,1.3,0.0
xrot,0,5,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Error Bars,NONE_STR,,,,0.0,plot_style_type,Simple Error Bars,NONE_STR,,,,255.0,plot_style_type,Simple Error Bars,NONE_STR,,,,128.0,plot_style_type,Simple Error Bars,NONE_STR,,,,128.0,plot_style_type,Simple Error Bars,NONE_STR,,,,180.0,plot_style_type,Simple Error Bars,NONE_STR,,,,70.0,plot_style_type,Simple Error Bars,NONE_STR,,,,160.0,plot_style_type,Simple Error Bars,NONE_STR,,,,50.0,plot_style_type,Simple Error Bars,NONE_STR,,,,150.0,plot_style_type,Simple Error Bars,NONE_STR,,,,200.0,plot_style_type,Simple Error Bars,NONE_STR,,,,0.0,plot_style_type,Simple Error Bars,NONE_STR,,,,94.0,plot_style_type,Simple Error Bars,NONE_STR,,,,0.0
xmm,40,10,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,YX Pair,NONE_STR,,,,0.0,plot_data_type,YX Pair,NONE_STR,,,,255.0,plot_data_type,YX Pair,NONE_STR,,,,128.0,plot_data_type,YX Pair,NONE_STR,,,,0.0,plot_data_type,YX Pair,NONE_STR,,,,20.0,plot_data_type,YX Pair,NONE_STR,,,,255.0,plot_data_type,YX Pair,NONE_STR,,,,230.0,plot_data_type,YX Pair,NONE_STR,,,,200.0,plot_data_type,YX Pair,NONE_STR,,,,255.0,plot_data_type,YX Pair,NONE_STR,,,,20.0,plot_data_type,YX Pair,NONE_STR,,,,0.0,plot_data_type,YX Pair,NONE_STR,,,,228.0,plot_data_type,YX Pair,NONE_STR,,,,128.0
xscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,,,0.5
xmin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,,,
xmax,13.700620207345292,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,,plot_data_source,Worksheet Columns,NONE_STR,,,,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,,plot_polarunits,NONE_STR,NONE_STR,,,,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,,plot_anguleunits,Degrees,NONE_STR,,,,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,,plot_min_angle_row,0,NONE_STR,,,,
yscale,category,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,,plot_max_angle_row,360,NONE_STR,,,,
