graph wizard parameter,value,visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,X 0,X Err. 0,X Lower 0,X Upper 0,Y 0,Y Err. 0,Y Lower 0,Y Upper 0,BGRA 0,X 1,X Err. 1,X Lower 1,X Upper 1,Y 1,Y Err. 1,Y Lower 1,Y Upper 1,BGRA 1,X 2,X Err. 2,X Lower 2,X Upper 2,Y 2,Y Err. 2,Y Lower 2,Y Upper 2,BGRA 2,X 3,X Err. 3,X Lower 3,X Upper 3,Y 3,Y Err. 3,Y Lower 3,Y Upper 3,BGRA 3,X 4,X Err. 4,X Lower 4,X Upper 4,Y 4,Y Err. 4,Y Lower 4,Y Upper 4,BGRA 4,X 5,X Err. 5,X Lower 5,X Upper 5,Y 5,Y Err. 5,Y Lower 5,Y Upper 5,BGRA 5,X 6,X Err. 6,X Lower 6,X Upper 6,Y 6,Y Err. 6,Y Lower 6,Y Upper 6,BGRA 6,X 7,X Err. 7,X Lower 7,X Upper 7,Y 7,Y Err. 7,Y Lower 7,Y Upper 7,BGRA 7,X 8,X Err. 8,X Lower 8,X Upper 8,Y 8,Y Err. 8,Y Lower 8,Y Upper 8,BGRA 8,X 9,X Err. 9,X Lower 9,X Upper 9,Y 9,Y Err. 9,Y Lower 9,Y Upper 9,BGRA 9,X 10,X Err. 10,X Lower 10,X Upper 10,Y 10,Y Err. 10,Y Lower 10,Y Upper 10,BGRA 10,X 11,X Err. 11,X Lower 11,X Upper 11,Y 11,Y Err. 11,Y Lower 11,Y Upper 11,BGRA 11,X 12,X Err. 12,X Lower 12,X Upper 12,Y 12,Y Err. 12,Y Lower 12,Y Upper 12,BGRA 12
plot_type,Box Plot,xlabel,X-Axis Label,auto,-50,NONE_STR,NONE_STR,NONE_STR,NONE_STR,Category 0,,,,5.744067519636624,,,,0.0,Category 1,,,,13.004371218578347,,,,255.0,Category 2,,,,18.0360400827345,,,,128.0,Category 3,,,,23.188911533847893,,,,192.0,Category 4,,,,37.24279755572681,,,,20.0,Category 5,,,,46.24971306891565,,,,50.0,Category 6,,,,27.611370841255315,,,,20.0,Category 7,,,,63.950362328475805,,,,255.0,Category 8,,,,67.28118011011267,,,,200.0,Category 9,,,,65.68491722107163,,,,200.0,Category 10,,,,72.42166767752025,,,,100.0,Category 11,,,,92.36937894350012,,,,50.0,Category 12,,,,47.663288144784744,,,,0.0
plot_style_type,Vertical Box Plot,xrot,90,,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,6.5759468318620975,,,,0.0,,,,,14.441866428504346,,,,255.0,,,,,19.649452908214247,,,,128.0,,,,,27.22983981442819,,,,128.0,,,,,27.166678185747323,,,,180.0,,,,,19.319010009015095,,,,70.0,,,,,35.444967752983935,,,,160.0,,,,,42.21529640991685,,,,50.0,,,,,50.055416491122095,,,,150.0,,,,,73.83282444171509,,,,200.0,,,,,65.79120625037694,,,,0.0,,,,,42.41378378293993,,,,94.0,,,,,55.20282773013339,,,,0.0
plot_data_type,X Many Y,xmm,40,,50,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,6.0138168803582195,,,,0.0,,,,,12.765143359376253,,,,255.0,,,,,17.16142682588182,,,,128.0,,,,,16.890631085684415,,,,0.0,,,,,28.424156659505897,,,,20.0,,,,,24.658006388575807,,,,255.0,,,,,29.014580310180513,,,,230.0,,,,,34.9956546190881,,,,200.0,,,,,55.5183026426924,,,,255.0,,,,,71.40971838405645,,,,20.0,,,,,73.02202831474071,,,,0.0,,,,,52.22677054379431,,,,228.0,,,,,79.91433256471356,,,,128.0
plot_columns_per_plot,ColumnsPerPlot,xscale,category,,100,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,5.724415914984484,,,,1.0,,,,,13.278580572480749,,,,1.0,,,,,15.985831830900878,,,,1.0,,,,,27.43378939223772,,,,1.0,,,,,22.048545891965095,,,,1.0,,,,,38.95554890503013,,,,1.0,,,,,21.80361790537965,,,,1.0,,,,,37.778247685357975,,,,1.0,,,,,57.46954726684413,,,,1.0,,,,,52.40010049888439,,,,1.0,,,,,82.6789453147808,,,,1.0,,,,,74.09133343986218,,,,1.0,,,,,99.90296695479594,,,,1.0
plot_plot_columns_count_array,PlotColumnCountArray,xmin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,5.118273996694524,,,,,,,,,15.514579574463394,,,,,,,,,17.204944377765713,,,,,,,,,19.089441631423966,,,,,,,,,26.37793436726037,,,,,,,,,27.31798226895259,,,,,,,,,45.24612919126869,,,,,,,,,30.94659197627164,,,,,,,,,27.880144765049636,,,,,,,,,44.0371423024895,,,,,,,,,48.643872473593504,,,,,,,,,87.3672527912023,,,,,,,,,47.43710180279048,,,,
plot_data_source,Worksheet Columns,xmax,NONE_STR,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,6.229470565333281,,,,,,,,,6.1270319703476765,,,,,,,,,15.913802684032012,,,,,,,,,27.933947992524043,,,,,,,,,31.46970700449014,,,,,,,,,33.961504976434604,,,,,,,,,31.4649446056431,,,,,,,,,54.43983012873751,,,,,,,,,39.67399927219453,,,,,,,,,68.65201099326929,,,,,,,,,62.793141790831186,,,,,,,,,39.91323519933317,,,,,,,,,94.73486164518134,,,,
plot_polarunits,Standard Deviation,ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,5.187936056313463,,,,,,,,,10.135876987865235,,,,,,,,,22.96410640297813,,,,,,,,,18.9200004494324,,,,,,,,,21.976004004269384,,,,,,,,,24.09976196609061,,,,,,,,,25.226808216602148,,,,,,,,,30.73620253834838,,,,,,,,,57.6554356395185,,,,,,,,,69.62082662770771,,,,,,,,,37.725941620917766,,,,,,,,,74.59191920110513,,,,,,,,,103.80559341046633,,,,
plot_anguleunits,Degrees,yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,7.4588650039103985,,,,,,,,,6.488127938,,,,,,,,,9.917091104804747,,,,,,,,,20.877488709841902,,,,,,,,,23.12722110429886,,,,,,,,,22.133468224190434,,,,,,,,,35.214363932728595,,,,,,,,,59.71727219477589,,,,,,,,,69.58781309128503,,,,,,,,,44.786488113499914,,,,,,,,,64.73568032139325,,,,,,,,,62.77123451336068,,,,,,,,,93.52479442376688,,,,
plot_min_angle_row,0,ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,7.818313802505147,,,,,,,,,6.999285613212114,,,,,,,,,22.49965120141601,,,,,,,,,18.06607179072518,,,,,,,,,18.710683573770392,,,,,,,,,42.651875870227045,,,,,,,,,38.715738493158305,,,,,,,,,41.376652405108395,,,,,,,,,70.48534750715858,,,,,,,,,61.46203930777019,,,,,,,,,35.77356033336939,,,,,,,,,36.19555618327994,,,,,,,,,44.42550266957009,,,,
plot_max_angle_row,360,yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,,,,,4.917207594128889,,,,,,,,,11.080663057670066,,,,,,,,,11.137352162224587,,,,,,,,,20.842278395527266,,,,,,,,,33.402789409742255,,,,,,,,,24.396823888348774,,,,,,,,,49.63029745513644,,,,,,,,,48.13972356332693,,,,,,,,,42.328167439404695,,,,,,,,,51.33052407282153,,,,,,,,,71.18791003898619,,,,,,,,,48.80488674987731,,,,,,,,,97.48113406559999,,,,
