graph wizard parameter,value,visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,X 0,X Err. 0,X Lower 0,X Upper 0,Y 0,Y Err. 0,Y Lower 0,Y Upper 0,BGRA 0,X 1,X Err. 1,X Lower 1,X Upper 1,Y 1,Y Err. 1,Y Lower 1,Y Upper 1,BGRA 1,X 2,X Err. 2,X Lower 2,X Upper 2,Y 2,Y Err. 2,Y Lower 2,Y Upper 2,BGRA 2,X 3,X Err. 3,X Lower 3,X Upper 3,Y 3,Y Err. 3,Y Lower 3,Y Upper 3,BGRA 3,X 4,X Err. 4,X Lower 4,X Upper 4,Y 4,Y Err. 4,Y Lower 4,Y Upper 4,BGRA 4,X 5,X Err. 5,X Lower 5,X Upper 5,Y 5,Y Err. 5,Y Lower 5,Y Upper 5,BGRA 5,X 6,X Err. 6,X Lower 6,X Upper 6,Y 6,Y Err. 6,Y Lower 6,Y Upper 6,BGRA 6,X 7,X Err. 7,X Lower 7,X Upper 7,Y 7,Y Err. 7,Y Lower 7,Y Upper 7,BGRA 7,X 8,X Err. 8,X Lower 8,X Upper 8,Y 8,Y Err. 8,Y Lower 8,Y Upper 8,BGRA 8,X 9,X Err. 9,X Lower 9,X Upper 9,Y 9,Y Err. 9,Y Lower 9,Y Upper 9,BGRA 9,X 10,X Err. 10,X Lower 10,X Upper 10,Y 10,Y Err. 10,Y Lower 10,Y Upper 10,BGRA 10,X 11,X Err. 11,X Lower 11,X Upper 11,Y 11,Y Err. 11,Y Lower 11,Y Upper 11,BGRA 11,X 12,X Err. 12,X Lower 12,X Upper 12,Y 12,Y Err. 12,Y Lower 12,Y Upper 12,BGRA 12
plot_type,Box Plot,xlabel,X-Axis Label,-50,auto,NONE_STR,NONE_STR,NONE_STR,NONE_STR,5.744067519636624,,,,Category 0,,,,0.0,7.52663734901322,,,,Category 1,,,,255.0,20.787466066294463,,,,Category 2,,,,128.0,28.85726128606329,,,,Category 3,,,,192.0,21.028441304900326,,,,Category 4,,,,20.0,35.006311666992254,,,,Category 5,,,,50.0,55.95656703741633,,,,Category 6,,,,20.0,55.12802866539937,,,,Category 7,,,,255.0,61.19379492364052,,,,Category 8,,,,200.0,61.37107791237,,,,Category 9,,,,200.0,63.089718428198765,,,,Category 10,,,,100.0,80.45394037626608,,,,Category 11,,,,50.0,51.33875268962103,,,,Category 12,,,,0.0
plot_style_type,Horizontal Box Plot,xrot,0,0,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,6.5759468318620975,,,,,,,,0.0,9.023566097075213,,,,,,,,255.0,17.25572368043075,,,,,,,,128.0,26.148350770942226,,,,,,,,128.0,39.268261965263974,,,,,,,,180.0,33.62194633803422,,,,,,,,70.0,36.93838435867725,,,,,,,,160.0,53.32374364642001,,,,,,,,50.0,64.7150259807378,,,,,,,,150.0,62.110494545322474,,,,,,,,200.0,65.00240846723835,,,,,,,,0.0,61.09816925506728,,,,,,,,94.0,91.5810620878635,,,,,,,,0.0
plot_data_type,Y Many X,xmm,40,50,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,6.0138168803582195,,,,,,,,0.0,6.6203641471456205,,,,,,,,255.0,18.43353308600534,,,,,,,,128.0,18.424196261664136,,,,,,,,0.0,34.85186882742038,,,,,,,,20.0,33.51398420212186,,,,,,,,255.0,30.621197791702084,,,,,,,,230.0,34.312920816641935,,,,,,,,200.0,42.776924162472696,,,,,,,,255.0,45.428391745184605,,,,,,,,20.0,49.142912324208865,,,,,,,,0.0,83.98665607685079,,,,,,,,228.0,87.60040065967445,,,,,,,,128.0
plot_columns_per_plot,ColumnsPerPlot,xscale,linear,100,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,5.724415914984484,,,,,,,,1.0,10.598603416089688,,,,,,,,1.0,14.13480711395626,,,,,,,,1.0,18.038167397396705,,,,,,,,1.0,25.171268963516773,,,,,,,,1.0,36.93558451499442,,,,,,,,1.0,33.05596672468823,,,,,,,,1.0,27.993643421354594,,,,,,,,1.0,46.45867269822979,,,,,,,,1.0,35.13980107233441,,,,,,,,1.0,82.19807926796823,,,,,,,,1.0,72.46961563682655,,,,,,,,1.0,95.62471589804778,,,,,,,,1.0
plot_plot_columns_count_array,PlotColumnCountArray,xmin,-3.9371519498994934,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,5.118273996694524,,,,,,,,,14.352533844376284,,,,,,,,,15.287385215064429,,,,,,,,,13.16841467863919,,,,,,,,,15.672333892762946,,,,,,,,,24.160997358078674,,,,,,,,,27.078267979237687,,,,,,,,,43.84340342299454,,,,,,,,,52.50037196852611,,,,,,,,,49.62044222685184,,,,,,,,,33.81089650724622,,,,,,,,,95.6740934572008,,,,,,,,,52.814085114829446,,,,,,,,
plot_data_source,Worksheet Columns,xmax,110.50041441419116,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,6.229470565333281,,,,,,,,,15.269970477498946,,,,,,,,,12.628846294335084,,,,,,,,,15.609532486412396,,,,,,,,,39.55778111884497,,,,,,,,,29.02562962075141,,,,,,,,,47.63485136264532,,,,,,,,,34.961975808105464,,,,,,,,,41.67006261756865,,,,,,,,,64.11974803849033,,,,,,,,,46.85477081318201,,,,,,,,,90.646281461831,,,,,,,,,59.3544819697029,,,,,,,,
plot_polarunits,Standard Deviation,ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,5.187936056313463,,,,,,,,,13.2698898431907,,,,,,,,,21.904194752931744,,,,,,,,,17.12328211668102,,,,,,,,,37.33059269772275,,,,,,,,,42.29599768780116,,,,,,,,,26.894177221054832,,,,,,,,,52.38161174402855,,,,,,,,,70.32682583389078,,,,,,,,,53.9402344230892,,,,,,,,,82.13496508246016,,,,,,,,,36.94557037640212,,,,,,,,,40.117077495697814,,,,,,,,
plot_anguleunits,Degrees,yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,7.4588650039103985,,,,,,,,,13.684962219206447,,,,,,,,,19.967354474649632,,,,,,,,,26.65575118619961,,,,,,,,,22.216261479995424,,,,,,,,,31.868134340064373,,,,,,,,,52.2526131704289,,,,,,,,,45.77659120607095,,,,,,,,,64.80525611421466,,,,,,,,,37.114322487048504,,,,,,,,,72.48023509824924,,,,,,,,,44.382338598190785,,,,,,,,,80.80051445779364,,,,,,,,
plot_min_angle_row,0,ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,7.818313802505147,,,,,,,,,8.692050664721933,,,,,,,,,19.942562882084676,,,,,,,,,22.273334864191305,,,,,,,,,25.15247015699412,,,,,,,,,26.101815331633173,,,,,,,,,36.20457085446985,,,,,,,,,41.71328532596833,,,,,,,,,63.411269662792535,,,,,,,,,73.62600294967656,,,,,,,,,55.81138042622676,,,,,,,,,61.78200892421694,,,,,,,,,79.73942847697276,,,,,,,,
plot_max_angle_row,360,yscale,category,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,4.917207594128889,,,,,,,,,12.440292920709894,,,,,,,,,20.271690038657745,,,,,,,,,12.37680749652225,,,,,,,,,21.79295211355459,,,,,,,,,42.345924380500065,,,,,,,,,42.122258117911066,,,,,,,,,58.70761021980814,,,,,,,,,32.058775548565585,,,,,,,,,79.17021154785013,,,,,,,,,55.91420086363783,,,,,,,,,93.76390719734786,,,,,,,,,98.2552108085678,,,,,,,,
