visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label,x,y,z,gw_param_keys 1,gw_param_values 1,label,x,y,z,gw_param_keys 2,gw_param_values 2,label,x,y,z,gw_param_keys 3,gw_param_values 3,label,x,y,z,gw_param_keys 4,gw_param_values 4,label,x,y,z,gw_param_keys 5,gw_param_values 5,label,x,y,z,gw_param_keys 6,gw_param_values 6,label,x,y,z,gw_param_keys 7,gw_param_values 7,label,x,y,z,gw_param_keys 8,gw_param_values 8,label,x,y,z,gw_param_keys 9,gw_param_values 9,label,x,y,z,gw_param_keys 10,gw_param_values 10,label,x,y,z,gw_param_keys 11,gw_param_values 11,label,x,y,z,gw_param_keys 12,gw_param_values 12,label,x,y,z
xlabel,X-Axis Label,-10,-10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Contour,contour 0,-5.0,-5.0,0.08843843072685073,plot_type,Contour,contour 1,-5.0,-5.0,0.014595268160884509,plot_type,Contour,contour 2,-5.0,-5.0,0.2398050354453648,plot_type,Contour,contour 3,-5.0,-5.0,-0.3262340901904215,plot_type,Contour,contour 4,-5.0,-5.0,-0.013251730621380436,plot_type,Contour,contour 5,-5.0,-5.0,0.3047010280726815,plot_type,Contour,contour 6,-5.0,-5.0,0.5238318795330953,plot_type,Contour,contour 7,-5.0,-5.0,1.065054041060323,plot_type,Contour,contour 8,-5.0,-5.0,0.5513501839286443,plot_type,Contour,contour 9,-5.0,-5.0,0.732484620130841,plot_type,Contour,contour 10,-5.0,-5.0,1.7541524359904144,plot_type,Contour,contour 11,-5.0,-5.0,0.8692778666041846,plot_type,Contour,contour 12,-5.0,-5.0,2.879503240748396
xrot,0,-5,-5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,0.020390877369657442,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,0.14286223547486085,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,0.06419922785603384,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,-0.08074579085552333,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,-0.22722193526697748,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,0.1327377178091804,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,0.46263483593953236,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,1.057605647735467,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,0.5392706590780725,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,1.3605706069533476,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,1.355040436121331,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,3.498918413824939,plot_style_type,NONE_STR,,-4.795918367346939,-5.0,2.8587561258249816
xmm,40,0,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,0.049529348883256864,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,0.03516968267323035,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,0.13343198762576147,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,0.07008712215153791,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,-0.1686508476352976,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,0.7572655053194288,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,0.3026357868163869,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,0.33384994461719114,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,1.1280772815502174,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,1.2080172543990162,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,2.1224944208801335,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,2.5285206288011652,plot_data_type,NONE_STR,,-4.591836734693878,-5.0,1.2218096139629258
xscale,category,5,5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,0.11291832806066171,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,-0.08090149831165346,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,-0.09220939080070796,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,0.21462622423790723,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,0.39037509663484316,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,0.021265349856960825,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,0.857602623191888,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,0.5235917541110882,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,1.015138570367362,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,1.5105803295600626,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,2.246858141800623,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,2.829338556874124,plot_columns_per_plot,NONE_STR,,-4.387755102040816,-5.0,2.9534857645556096
xmin,-5.5,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,0.09460818999890779,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,-0.020165031925401936,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,0.19699987030021238,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,-0.0993435589001315,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,0.08569141810563974,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,0.47496004395363506,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,0.7860663427499928,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,1.3441058836567106,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,1.9237064431101099,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,1.068986919335857,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,1.8146792295542034,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,2.0502205840336147,plot_plot_columns_count_array,NONE_STR,,-4.183673469387755,-5.0,2.6077546700366474
xmax,5.5,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,-0.04720555359550635,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,-0.05668528694438337,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,-0.05611313896926526,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,0.3126057562847996,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,-0.07456062213345052,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,-0.1250718343116824,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,0.24471071793681864,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,0.38815677750536837,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,1.5003062189371177,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,1.3161972283974197,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,0.7798464790648967,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,3.1022281544718027,plot_data_source,NONE_STR,,-3.979591836734694,-5.0,3.2165634334475617
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,0.04965157457439551,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,0.16683752727239773,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,-0.0737360741118587,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,0.3788901277878497,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,0.525134012740201,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,1.077247774594782,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,0.32011233575361386,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,0.36369258136872623,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,2.2729530391346113,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,1.9238436340060454,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,1.675118571194885,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,2.0934038946591813,plot_polarunits,NONE_STR,,-3.7755102040816326,-5.0,3.166851511419194
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,-0.004884033233494674,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,-0.19666836778476382,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,-0.2564554614236596,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,0.034553349714029055,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,0.21889034170242755,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,0.1309324521414496,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,0.9337240295369841,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,0.8566941979999643,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,1.6851615864415557,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,2.0013441076084426,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,3.4646103703495927,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,1.7840392745720601,plot_anguleunits,NONE_STR,,-3.571428571428571,-5.0,2.260232080617715
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,-0.0018998444428057482,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,0.16062638682178834,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,-0.03166997787692355,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,0.1598285978638041,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,0.179483847921459,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,0.37168300858123793,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,0.2665895077198171,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,1.7345930410740535,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,0.34586760210488643,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,2.2121510979592154,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,0.7902344305804903,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,2.046554049524059,plot_min_angle_row,NONE_STR,,-3.36734693877551,-5.0,4.19867421092988
yscale,category,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,0.02441699435624543,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,0.11235073161075838,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,-0.21571979390244506,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,0.10762706120277786,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,-0.07004076671639037,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,-0.24604994029530286,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,1.3642540036734419,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,0.8073672660078673,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,1.8480028386780218,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,1.6420680949130766,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,1.9798107142134567,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,3.7811012224088856,plot_max_angle_row,NONE_STR,,-3.163265306122449,-5.0,3.713620909214808
