visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,bgra
xlabel,X-Axis Label,0,-20,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Line Plot,line,0.0,0.1764052345967664,0.0,plot_type,Line Plot,line,0.0,0.9236109024610816,255.0,plot_type,Line Plot,line,0.0,2.528001730882759,128.0,plot_type,Line Plot,line,0.0,3.976341023067827,192.0,plot_type,Line Plot,line,0.0,4.6001187016459095,20.0,plot_type,Line Plot,line,0.0,3.663586902765207,50.0,plot_type,Line Plot,line,0.0,1.0090238646961847,20.0,plot_type,Line Plot,line,0.0,-2.300181282709499,255.0,plot_type,Line Plot,line,0.0,-6.774502741999191,200.0,plot_type,Line Plot,line,0.0,-10.163467415431665,200.0,plot_type,Line Plot,line,0.0,-8.497412022603886,100.0,plot_type,Line Plot,line,0.0,-9.07525327503517,50.0,plot_type,Line Plot,line,0.0,-4.766110611403196,0.0
xrot,0,5,-10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,0.5423668754402349,0.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,1.7485682206068884,255.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,2.649455113809058,128.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,3.9907880745870674,128.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,2.9225859310190065,180.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,0.22021190586706457,70.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-1.9489363175555825,160.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-5.800956169895668,50.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-10.60550083879344,150.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-10.07902631573306,200.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-6.188307431157504,0.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,-2.5146886824505637,94.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,2.0558265448008113,0.0
xmm,40,10,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,0.9666034164464434,0.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,2.165019487058502,255.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,2.8521695008203527,128.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,1.5096334962981,0.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,0.1122994761180447,20.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-2.006108646945539,255.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-4.524079640881129,230.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-8.594433690668112,200.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-8.661744987947781,255.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-6.089017565779338,20.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,-2.9574506487326655,0.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,2.2844471044284127,228.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,11.3929101931862,128.0
xscale,linear,,10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,1.224056100364275,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,1.7408018065491009,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,1.2112483886126477,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,0.3711793251220729,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-1.2902205876473356,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-4.606241089998206,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-6.177390766171514,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-9.007767096512673,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-6.383831136799246,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,-1.855258982203823,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,2.98899837471384,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,9.691122896756234,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,13.231311127906444,1.0
xmin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,1.0472961373892409,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,0.8914687402584665,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,0.06531028960089608,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-0.9783718871575509,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-3.8601824534119378,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-5.370025312765676,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-6.216782269911322,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-6.501771921991041,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,-3.3037067960839748,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,5.195843011034712,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,8.342553228083073,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,13.530346113344184,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,12.562929735606424,
xmax,11.275,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,0.3904614208788348,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-0.0010407987119106094,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-1.7883157903050002,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-3.573185568512069,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-4.771330690363072,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-5.847807166103474,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-4.143792085121271,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,-0.639413177856405,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,2.6693278690932405,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,8.429972679414448,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,10.721793181206959,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,9.980555207288676,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,8.120421405479602,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,0.07870748055860385,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-0.9437800262651974,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-2.5642666448584803,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-4.370045916806344,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-4.463885717157178,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-4.486245148568311,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,-0.9291818317317235,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,2.8127167090919283,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,7.97672964837672,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,12.292527667039016,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,9.021448818466226,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,8.198680424611648,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,4.473619081956818,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-0.5315153203297982,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-1.6099966808008732,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-3.0023295186954586,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-4.037935966130474,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-3.284216538872829,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,0.6505054606071484,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,2.891834512045191,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,6.363674839931401,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,9.25928777071317,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,10.479676702965081,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,5.497028117184692,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,3.649282210009137,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,-3.7837955615284056,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-0.8870099162148941,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-1.9799489519957634,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-2.603671369615688,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-1.9857224576754744,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-0.7438568465045166,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,2.3174811034835474,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,5.5556308973729625,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,8.154857906009592,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,8.870089824150053,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,4.440449098763715,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,0.6453778854650265,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-2.9478064529085213,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,-9.644752448566075,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-0.9586411870456448,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-1.9511851614141342,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-1.4280520641345888,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-0.4559379114850087,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,1.6705648294982915,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,4.6050208581034715,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,6.829351709673102,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,8.682475427034207,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,4.843524204400795,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,2.9479949348334893,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-2.522563967133837,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-10.306990532003267,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,-13.321107344943803,
