visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,y,x_lower,x_upper,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,y,x_lower,x_upper,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,y,x_lower,x_upper,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,y,x_lower,x_upper,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,y,x_lower,x_upper,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,y,x_lower,x_upper,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,y,x_lower,x_upper,bgra,gw_param_keys 13,gw_param_values 13,label 13,x,y,bgra,gw_param_keys 14,gw_param_values 14,label 14,y,x_lower,x_upper,bgra,gw_param_keys 15,gw_param_values 15,label 15,x,y,bgra,gw_param_keys 16,gw_param_values 16,label 16,y,x_lower,x_upper,bgra,gw_param_keys 17,gw_param_values 17,label 17,x,y,bgra,gw_param_keys 18,gw_param_values 18,label 18,y,x_lower,x_upper,bgra,gw_param_keys 19,gw_param_values 19,label 19,x,y,bgra,gw_param_keys 20,gw_param_values 20,label 20,y,x_lower,x_upper,bgra,gw_param_keys 21,gw_param_values 21,label 21,x,y,bgra,gw_param_keys 22,gw_param_values 22,label 22,y,x_lower,x_upper,bgra,gw_param_keys 23,gw_param_values 23,label 23,x,y,bgra,gw_param_keys 24,gw_param_values 24,label 24,y,x_lower,x_upper,bgra,gw_param_keys 25,gw_param_values 25,label 25,x,y,bgra
xlabel,X-Axis Label,0,-150,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Line Plot,lines_y_many_x_violin,-1.9554176998604924,1.9949857571599197,2.00501424284008,255.0,plot_type,Box Plot,box_violin,2.0,12.47256424995259,255.0,plot_type,Line Plot,lines_y_many_x_violin,-4.985312715931039,3.994313946183664,4.005686053816336,192.0,plot_type,Box Plot,box_violin,4.0,29.236064485635758,192.0,plot_type,Line Plot,lines_y_many_x_violin,-11.271943549629135,5.991831323407034,6.008168676592966,50.0,plot_type,Box Plot,box_violin,6.0,36.45397837874579,50.0,plot_type,Line Plot,lines_y_many_x_violin,-7.487093503019022,7.995354789991113,8.004645210008887,255.0,plot_type,Box Plot,box_violin,8.0,29.406782867662486,255.0,plot_type,Line Plot,lines_y_many_x_violin,-11.947473078207778,9.992018601806036,10.007981398193964,200.0,plot_type,Box Plot,box_violin,10.0,59.89270727639419,200.0,plot_type,Line Plot,lines_y_many_x_violin,-17.672536536882337,11.990522391478644,12.009477608521356,50.0,plot_type,Box Plot,box_violin,12.0,74.47624156473022,50.0,plot_type,Line Plot,lines_y_many_x_violin,-17.520956231802536,13.99498085327875,14.00501914672125,0.0,plot_type,Box Plot,box_violin,14.0,53.3825055945383,0.0,plot_type,Line Plot,lines_y_many_x_violin,-22.301475550371197,15.99474839287725,16.005251607122748,128.0,plot_type,Box Plot,box_violin,16.0,95.81970703492661,128.0,plot_type,Line Plot,lines_y_many_x_violin,-17.674378118977312,17.995584426434334,18.004415573565666,20.0,plot_type,Box Plot,box_violin,18.0,80.1365650063662,20.0,plot_type,Line Plot,lines_y_many_x_violin,-24.780135968886484,19.995061767164362,20.004938232835638,20.0,plot_type,Box Plot,box_violin,20.0,73.57866730499168,20.0,plot_type,Line Plot,lines_y_many_x_violin,-24.404994581685877,21.992803312451567,22.007196687548433,200.0,plot_type,Box Plot,box_violin,22.0,118.08506434335489,200.0,plot_type,Line Plot,lines_y_many_x_violin,-32.05229446808349,23.994653201553113,24.005346798446887,100.0,plot_type,Box Plot,box_violin,24.0,109.11263538863108,100.0,plot_type,Line Plot,lines_y_many_x_violin,-30.793534006271543,25.99457543958208,26.00542456041792,0.0,plot_type,Box Plot,box_violin,26.0,150.28145805507447,0.0
xrot,0,10,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Multiple Straight Lines,NONE_STR,-1.7138941099643208,1.9930046775647692,2.006995322435231,255.0,plot_style_type,Vertical Box Plot,NONE_STR,,11.439898009303144,255.0,plot_style_type,Multiple Straight Lines,NONE_STR,-4.480558923690008,3.9923164043174473,4.007683595682552,128.0,plot_style_type,Vertical Box Plot,NONE_STR,,22.09965581814591,128.0,plot_style_type,Multiple Straight Lines,NONE_STR,-10.464974183841527,5.988824087512211,6.011175912487789,70.0,plot_style_type,Vertical Box Plot,NONE_STR,,20.959851516239894,70.0,plot_style_type,Multiple Straight Lines,NONE_STR,-6.527758280735809,7.993474627755709,8.00652537224429,50.0,plot_style_type,Vertical Box Plot,NONE_STR,,24.669112344751344,50.0,plot_style_type,Multiple Straight Lines,NONE_STR,-10.696008975617723,9.989097572434137,10.010902427565863,200.0,plot_style_type,Vertical Box Plot,NONE_STR,,55.61268750036405,200.0,plot_style_type,Multiple Straight Lines,NONE_STR,-16.118459856986423,11.987132413179415,12.012867586820585,94.0,plot_style_type,Vertical Box Plot,NONE_STR,,35.35825235526479,94.0,plot_style_type,Multiple Straight Lines,NONE_STR,-15.752856105907536,13.99323485976192,14.00676514023808,0.0,plot_style_type,Vertical Box Plot,NONE_STR,,79.19702304530576,0.0,plot_style_type,Multiple Straight Lines,NONE_STR,-20.154443589554806,15.9928552298048,16.0071447701952,128.0,plot_style_type,Vertical Box Plot,NONE_STR,,74.07634846959124,128.0,plot_style_type,Multiple Straight Lines,NONE_STR,-15.499138156977772,17.993839208942514,18.006160791057486,180.0,plot_style_type,Vertical Box Plot,NONE_STR,,87.5117885924834,180.0,plot_style_type,Multiple Straight Lines,NONE_STR,-22.25932514123221,19.99333219794733,20.00666780205267,160.0,plot_style_type,Vertical Box Plot,NONE_STR,,36.27735744403909,160.0,plot_style_type,Multiple Straight Lines,NONE_STR,-21.68974216589424,21.990032189036476,22.009967810963524,150.0,plot_style_type,Vertical Box Plot,NONE_STR,,120.83597626654074,150.0,plot_style_type,Multiple Straight Lines,NONE_STR,-28.980530943475742,23.99280732929912,24.00719267070088,0.0,plot_style_type,Vertical Box Plot,NONE_STR,,105.98623995818393,0.0,plot_style_type,Multiple Straight Lines,NONE_STR,-27.545179783922624,25.992647275094416,26.007352724905584,0.0,plot_style_type,Vertical Box Plot,NONE_STR,,99.03243873394263,0.0
xmm,40,20,150,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,Y Many X,NONE_STR,-1.4723705200681492,1.9905130268048155,2.0094869731951848,255.0,plot_data_type,X Many Y,NONE_STR,,13.520404036276073,255.0,plot_data_type,Y Many X,NONE_STR,-3.9758051314489773,3.9898296348356412,4.010170365164359,0.0,plot_data_type,X Many Y,NONE_STR,,24.733811634429678,0.0,plot_data_type,Y Many X,NONE_STR,-9.658004818053916,5.984997292681645,6.015002707318355,255.0,plot_data_type,X Many Y,NONE_STR,,32.93739407005546,255.0,plot_data_type,Y Many X,NONE_STR,-5.568423058452597,7.991100609611639,8.008899390388361,200.0,plot_data_type,X Many Y,NONE_STR,,46.3499347341957,200.0,plot_data_type,Y Many X,NONE_STR,-9.444544873027667,9.98544134640948,10.01455865359052,20.0,plot_data_type,X Many Y,NONE_STR,,46.999141905034904,20.0,plot_data_type,Y Many X,NONE_STR,-14.56438317709051,11.982872906031588,12.017127093968412,228.0,plot_data_type,X Many Y,NONE_STR,,46.21838429688059,228.0,plot_data_type,Y Many X,NONE_STR,-13.984755980012535,13.991071883289363,14.008928116710637,0.0,plot_data_type,X Many Y,NONE_STR,,69.8215985149251,0.0,plot_data_type,Y Many X,NONE_STR,-18.00741162873841,15.990461354392645,16.009538645607353,128.0,plot_data_type,X Many Y,NONE_STR,,103.2093155288736,128.0,plot_data_type,Y Many X,NONE_STR,-13.32389819497823,17.99164005957553,18.00835994042447,20.0,plot_data_type,X Many Y,NONE_STR,,76.87821123224538,20.0,plot_data_type,Y Many X,NONE_STR,-19.738514313577937,19.991186297901887,20.008813702098113,230.0,plot_data_type,X Many Y,NONE_STR,,129.28183492858713,230.0,plot_data_type,Y Many X,NONE_STR,-18.97448975010261,21.98652913621924,22.01347086378076,255.0,plot_data_type,X Many Y,NONE_STR,,160.189937575331,255.0,plot_data_type,Y Many X,NONE_STR,-25.908767418867996,23.99050088513111,24.00949911486889,0.0,plot_data_type,X Many Y,NONE_STR,,146.24642521518655,0.0,plot_data_type,Y Many X,NONE_STR,-24.2968255615737,25.99026053620023,26.00973946379977,128.0,plot_data_type,X Many Y,NONE_STR,,129.61106604748267,128.0
xscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-1.2308469301719778,1.9874921098354987,2.0125078901645015,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,12.727144206355062,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-3.4710513392079463,3.986808124342288,4.0131918756577125,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,15.548817176143821,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-8.851035452266308,5.980236053334809,6.019763946665191,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,12.641457300596926,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-4.609087836169383,7.988216304968509,8.011783695031491,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,32.060379528462185,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-8.19308077043761,9.9809922126089,10.0190077873911,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,68.9404383622379,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-13.010306497194597,11.977648438984582,12.022351561015418,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,96.6736231144281,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-12.216655854117533,13.988460004623994,14.011539995376006,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,42.511458416063135,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-15.860379667922018,15.987498956192718,16.01250104380728,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,104.28318817267593,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-11.148658232978688,17.988965088417295,18.011034911582705,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,88.23094389732314,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-17.217703485923664,19.98859149078008,20.01140850921992,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,106.59786012918373,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-16.259237334310974,21.98223546383826,22.01776453616174,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,114.74184384878114,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-22.83700389426025,23.987678246512967,24.012321753487033,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,192.13156728639913,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,-21.048471339224783,25.987390884992017,26.012609115007983,1.0,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,,105.244042954252,1.0
xmin,0.35,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-0.989323340275806,1.983967304481637,2.016032695518363,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,8.284835644301623,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-2.9662975469669153,3.9832234885798865,4.0167765114201135,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,26.93303391126543,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-8.044066086478699,5.974445458842243,6.025554541157757,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,26.43071237712653,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-3.649752613886171,7.984850864836283,8.015149135163716,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,64.04043781956327,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-6.941616667847554,9.97573202971974,10.02426797028026,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,63.96000042034087,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-11.456229817298684,11.971395760795653,12.028604239204347,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,56.80677015934415,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-10.448555728222534,13.98538563710047,14.01461436289953,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,48.30996392959994,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-13.713347707105624,15.983910152170086,16.016089847829914,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,81.10717304486228,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-8.973418270979147,17.985827315579545,18.014172684420455,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,79.5674393779929,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-14.696892658269393,19.985533530795315,20.014466469204685,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,99.71226621106504,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-13.54398491851934,21.97713748930247,22.02286251069753,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,97.06818857419596,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-19.765240369652503,23.98429283884013,24.01570716115987,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,118.89772297213399,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,-17.80011711687586,25.984041896992533,26.015958103007467,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,,113.54240156325363,
xmax,27.65,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,-0.7477997503796345,1.980017873941856,2.019982126058144,,plot_data_source,Worksheet Columns,NONE_STR,,9.671508196822566,,plot_data_source,Worksheet Columns,NONE_STR,-2.4615437547258843,3.97906814902073,4.02093185097927,,plot_data_source,Worksheet Columns,NONE_STR,,16.599397248597768,,plot_data_source,Worksheet Columns,NONE_STR,-7.237096720691089,5.967563111596182,6.032436888403818,,plot_data_source,Worksheet Columns,NONE_STR,,27.07657327006769,,plot_data_source,Worksheet Columns,NONE_STR,-2.690417391602958,7.981089156276929,8.01891084372307,,plot_data_source,Worksheet Columns,NONE_STR,,24.76554683680171,,plot_data_source,Worksheet Columns,NONE_STR,-5.690152565257498,9.969693640868806,10.030306359131194,,plot_data_source,Worksheet Columns,NONE_STR,,38.789820185404466,,plot_data_source,Worksheet Columns,NONE_STR,-9.90215313740277,11.964097284081044,12.035902715918956,,plot_data_source,Worksheet Columns,NONE_STR,,60.40777240360729,,plot_data_source,Worksheet Columns,NONE_STR,-8.680455602327534,13.981857388950832,14.018142611049168,,plot_data_source,Worksheet Columns,NONE_STR,,84.21298015852723,,plot_data_source,Worksheet Columns,NONE_STR,-11.56631574628923,15.979652107397428,16.020347892602572,,plot_data_source,Worksheet Columns,NONE_STR,,31.702406037500126,,plot_data_source,Worksheet Columns,NONE_STR,-6.798178308979606,17.98228157260913,18.01771842739087,,plot_data_source,Worksheet Columns,NONE_STR,,86.46041343421066,,plot_data_source,Worksheet Columns,NONE_STR,-12.17608183061512,19.982020561513224,20.017979438486776,,plot_data_source,Worksheet Columns,NONE_STR,,131.94201074225302,,plot_data_source,Worksheet Columns,NONE_STR,-10.828732502727707,21.971280599857963,22.028719400142037,,plot_data_source,Worksheet Columns,NONE_STR,,112.69744947208663,,plot_data_source,Worksheet Columns,NONE_STR,-16.693476845044756,23.98031008753429,24.01968991246571,,plot_data_source,Worksheet Columns,NONE_STR,,199.71271662042636,,plot_data_source,Worksheet Columns,NONE_STR,-14.551762894526941,25.98025106370589,26.01974893629411,,plot_data_source,Worksheet Columns,NONE_STR,,173.88942606783988,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,NONE_STR,NONE_STR,-0.5062761604834629,1.9757806417550785,2.0242193582449217,,plot_polarunits,Standard Deviation,NONE_STR,,10.057084794725387,,plot_polarunits,NONE_STR,NONE_STR,-1.9567899624848533,3.974356278365428,4.025643721634572,,plot_polarunits,Standard Deviation,NONE_STR,,15.66054280070859,,plot_polarunits,NONE_STR,NONE_STR,-6.43012735490348,5.959571327073418,6.040428672926582,,plot_polarunits,Standard Deviation,NONE_STR,,25.384045088325617,,plot_polarunits,NONE_STR,NONE_STR,-1.7310821693197456,7.977075295196292,8.022924704803708,,plot_polarunits,Standard Deviation,NONE_STR,,33.06445036110251,,plot_polarunits,NONE_STR,NONE_STR,-4.438688462667441,9.962968060681929,10.037031939318071,,plot_polarunits,Standard Deviation,NONE_STR,,40.01606090494934,,plot_polarunits,NONE_STR,NONE_STR,-8.348076457506856,11.955792593712555,12.044207406287445,,plot_polarunits,Standard Deviation,NONE_STR,,40.79427545787779,,plot_polarunits,NONE_STR,NONE_STR,-6.912355476432532,13.977907254758696,14.022092745241304,,plot_polarunits,Standard Deviation,NONE_STR,,68.6282817817327,,plot_polarunits,NONE_STR,NONE_STR,-9.419283785472839,15.974701179335703,16.025298820664297,,plot_polarunits,Standard Deviation,NONE_STR,,66.62267687329549,,plot_polarunits,NONE_STR,NONE_STR,-4.622938346980064,17.97842565574669,18.02157434425331,,plot_polarunits,Standard Deviation,NONE_STR,,88.210904928961,,plot_polarunits,NONE_STR,NONE_STR,-9.655271002960848,19.978084667853185,20.021915332146815,,plot_polarunits,Standard Deviation,NONE_STR,,64.924800641882,,plot_polarunits,NONE_STR,NONE_STR,-8.113480086936072,21.96477848899443,22.03522151100557,,plot_polarunits,Standard Deviation,NONE_STR,,129.06059227047788,,plot_polarunits,NONE_STR,NONE_STR,-13.621713320437006,23.97570887643602,24.02429112356398,,plot_polarunits,Standard Deviation,NONE_STR,,59.547272582988995,,plot_polarunits,NONE_STR,NONE_STR,-11.303408672178023,25.976092229655404,26.023907770344596,,plot_polarunits,Standard Deviation,NONE_STR,,180.38259575761077,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,-0.2647525705872913,1.971444869578085,2.028555130421915,,plot_anguleunits,Degrees,NONE_STR,,7.168716806411815,,plot_anguleunits,Degrees,NONE_STR,-1.4520361702438223,3.9691210873935825,4.0308789126064175,,plot_anguleunits,Degrees,NONE_STR,,8.093192165895768,,plot_anguleunits,Degrees,NONE_STR,-5.623157989115871,5.950507294175598,6.049492705824402,,plot_anguleunits,Degrees,NONE_STR,,35.17862510912785,,plot_anguleunits,Degrees,NONE_STR,-0.771746947036533,7.973006730372202,8.026993269627798,,plot_anguleunits,Degrees,NONE_STR,,27.192024209527474,,plot_anguleunits,Degrees,NONE_STR,-3.1872243600773853,9.955704992489622,10.044295007510378,,plot_anguleunits,Degrees,NONE_STR,,64.29218903277257,,plot_anguleunits,Degrees,NONE_STR,-6.793999777610944,11.946585691158294,12.053414308841706,,plot_anguleunits,Degrees,NONE_STR,,67.61615049877636,,plot_anguleunits,Degrees,NONE_STR,-5.144255350537531,13.97358802115371,14.02641197884629,,plot_anguleunits,Degrees,NONE_STR,,41.401332505504215,,plot_anguleunits,Degrees,NONE_STR,-7.272251824656445,15.969055243600058,16.030944756399943,,plot_anguleunits,Degrees,NONE_STR,,140.6987495315331,,plot_anguleunits,Degrees,NONE_STR,-2.447698384980523,17.974393520563265,18.025606479436735,,plot_anguleunits,Degrees,NONE_STR,,96.20881054696608,,plot_anguleunits,Degrees,NONE_STR,-7.134460175306575,19.973779921253037,20.026220078746963,,plot_anguleunits,Degrees,NONE_STR,,51.18169243301473,,plot_anguleunits,Degrees,NONE_STR,-5.39822767114444,21.95781437476447,22.04218562523553,,plot_anguleunits,Degrees,NONE_STR,,82.21943221796296,,plot_anguleunits,Degrees,NONE_STR,-10.54994979582926,23.970480907304093,24.029519092695907,,plot_anguleunits,Degrees,NONE_STR,,142.31660053100615,,plot_anguleunits,Degrees,NONE_STR,-8.0550544498291,25.971672877082387,26.028327122917613,,plot_anguleunits,Degrees,NONE_STR,,158.54584279243664,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,-0.02322898069111967,1.9672368037822872,2.032763196217713,,plot_min_angle_row,0,NONE_STR,,11.921719459413751,,plot_min_angle_row,0,NONE_STR,-0.9472823780027912,3.9634080261409497,4.03659197385905,,plot_min_angle_row,0,NONE_STR,,16.801378012645955,,plot_min_angle_row,0,NONE_STR,-4.816188623328261,5.940469378065033,6.059530621934967,,plot_min_angle_row,0,NONE_STR,,32.33043905013703,,plot_min_angle_row,0,NONE_STR,0.18758827524667954,7.969117264166881,8.030882735833119,,plot_min_angle_row,0,NONE_STR,,52.15385943000536,,plot_min_angle_row,0,NONE_STR,-1.9357602574873294,9.948104828824334,10.051895171175666,,plot_min_angle_row,0,NONE_STR,,33.68342603614431,,plot_min_angle_row,0,NONE_STR,-5.23992309771503,11.936645704918734,12.063354295081266,,plot_min_angle_row,0,NONE_STR,,55.79459995044162,,plot_min_angle_row,0,NONE_STR,-3.376155224642531,13.968966110961375,14.031033889038625,,plot_min_angle_row,0,NONE_STR,,76.37548947386009,,plot_min_angle_row,0,NONE_STR,-5.1252198638400515,15.962733469343062,16.037266530656936,,plot_min_angle_row,0,NONE_STR,,20.155281478553704,,plot_min_angle_row,0,NONE_STR,-0.2724584229809821,17.9703394251338,18.0296605748662,,plot_min_angle_row,0,NONE_STR,,37.63310046938775,,plot_min_angle_row,0,NONE_STR,-4.613649347652302,19.96917631228016,20.03082368771984,,plot_min_angle_row,0,NONE_STR,,87.09358992501598,,plot_min_angle_row,0,NONE_STR,-2.6829752553528046,21.950631633452453,22.049368366547547,,plot_min_angle_row,0,NONE_STR,,113.48679622103266,,plot_min_angle_row,0,NONE_STR,-7.478186271221514,23.96462760699957,24.03537239300043,,plot_min_angle_row,0,NONE_STR,,102.40712897598004,,plot_min_angle_row,0,NONE_STR,-4.8067002274801816,25.96712515209537,26.03287484790463,,plot_min_angle_row,0,NONE_STR,,107.4127806393553,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,0.21829460920505195,1.9633941366479069,2.036605863352093,,plot_max_angle_row,360,NONE_STR,,7.640670485103631,,plot_max_angle_row,360,NONE_STR,-0.44252858576176024,3.957264213075496,4.042735786924505,,plot_max_angle_row,360,NONE_STR,,9.131109570517527,,plot_max_angle_row,360,NONE_STR,-4.009219257540652,5.92961792022854,6.07038207977146,,plot_max_angle_row,360,NONE_STR,,34.725210080662194,,plot_max_angle_row,360,NONE_STR,1.146923497529892,7.965649301670788,8.034350698329213,,plot_max_angle_row,360,NONE_STR,,35.8997889130023,,plot_max_angle_row,360,NONE_STR,-0.6842961548972735,9.940401449422207,10.059598550577793,,plot_max_angle_row,360,NONE_STR,,78.73389672395223,,plot_max_angle_row,360,NONE_STR,-3.685846417819116,11.926199221999358,12.073800778000642,,plot_max_angle_row,360,NONE_STR,,4.508518235930744,,plot_max_angle_row,360,NONE_STR,-1.6080550987475313,13.964109665092963,14.035890334907037,,plot_max_angle_row,360,NONE_STR,,118.44362671959345,,plot_max_angle_row,360,NONE_STR,-2.9781879030236595,15.955773084743454,16.044226915256548,,plot_max_angle_row,360,NONE_STR,,68.41874236664339,,plot_max_angle_row,360,NONE_STR,1.9027815390185587,17.966413644266016,18.033586355733984,,plot_max_angle_row,360,NONE_STR,,49.36631103944419,,plot_max_angle_row,360,NONE_STR,-2.092838519998029,19.9643495958434,20.0356504041566,,plot_max_angle_row,360,NONE_STR,,117.72731174601404,,plot_max_angle_row,360,NONE_STR,0.032277160438830776,21.943512649096693,22.056487350903307,,plot_max_angle_row,360,NONE_STR,,101.52994318800819,,plot_max_angle_row,360,NONE_STR,-4.406422746613767,23.958154616136277,24.041845383863723,,plot_max_angle_row,360,NONE_STR,,157.98291859653497,,plot_max_angle_row,360,NONE_STR,-1.5583460051312628,25.96259035624295,26.03740964375705,,plot_max_angle_row,360,NONE_STR,,177.11676836986172,
